a cote de    ya panga a
danser toute la nuit    kena  moubeka
dard    moukomba
de    a
de l'autre cote    ngoulou yena
se debattre    popa
debilite    foussou
debout!    temoune!
etre debout    ba temoune
debrouille-toi!    papada    !
debrouille-toi!    papadanga  !
debbrousser par les femmes    saghala
debbrousser par les hommes    solo
debbrousser la plantation    solo   nioungui
debut    lebabda
deceder    kwa
dechets    bimba
dechirer    kassala
decouper    kesse
decouvrir    kouidoulou
dedans    tchina
dedans    outso
defaire    niangoula
defoncer    pandoula
dehors    ghou mbedi
dejeuner    ndja
prendre le petit dejeuner    tsoko   cha kokolo
delier    niangoula
demain    mbedi
apres - demain    mbissa mbedi
demander    vondo
demander des comptes    vondo   cha missama
demandeur    mou     bondi
demangeaison    tsotso
demenager    toda
dent    ndjina
dents    mina
depart    mwenda
depasser    lota
se depecher    sa  na moukassa
depenser    kaba
depiauter    massa ibabda
deplacer quelque chose    tsokoussa
deplier    niangala
deposer    sossa
depuis    a mata
depuis le temps que    mou banda letsoughouli
depuis que    mou banda
deraciner    lata
descendre    kounana
descendre a    yende ghou
descendre a libreville    banda  libreville
descente    lokana chia
descente    moukoudi
se deshabiller    kola
desobeir    lenguesse
desobeir    sa  madzanga
dessein    lebeghi
se detendre    monogho
detendre    nanouna
detruire    tsamouna
detruit    tsamouna
dette    ibimba
dette    moughanou
deux    bioli
deux cents    mikama miola
deux fois    bioli
deuxieme    bioli
devant    ya boussou bwa
devenir    ya
devenir    kalagha
dialogue    levovo
diarhée    moussoubagha
dieu    nzembi
dieu    manondzo
different    de    ya sandza na
different    de    kima
dignite    leghobo
dignite    bouyimba
dire le nom    touba
directement    te   ghou
disciple    mouyighi
disparaitre    niongo
disparaitre    niambouna
se disputer    vovo
distance    iyende
distance    penguidi
diviser    kaba
diviser    tsoko
semer la zizanie    tsoko
dix    lekoumi
dix-huitieme    cha lekoumi    na pombo
dix-neuvieme    cha lekoumi    na va
dix-septieme    cha lekoumi    na tsamba
dixieme    likoumi
doigt    moulemba
doigts    milemba
donner    ve
donner des coups de baton    bola  bakondo
donner des coupsde poing    bola   bighaba
donner la honte    sa  tsogni
donener raison    bengassa
donner tort    boma  chia issala
dormir    bondouna
dos    mbissa
dot    mafwa
doucement    na koundou
doucement    bouke-bouke!
doucement    na boutsogha
douceur    boubwedi
doucéur    kolo
douceur    boutsogha
douceur    sondo
douleur morale    nguengui
douleur physique    boukegni
douleurs d'accouchement    missongo
douleurs morales    manguengui
douxieme    cha lekoumi  na bioli
draguer    te
se dresser    chimbougha
dresser la table    vanga
a droite    mbaghala
la droite    ngoula mbaghala
duree    tanga
duree d'une action    idjinga
eau    mamba
eau qui boue    mamba ma ma togho
ebene    ivindou
echelle    ineghili
eclair    mouvediavedi
ecouter    yoghoula
ecraser    gnigha
ecrire    tende
ecriture    letende
effacer    djimoussa
s'effacer    djima
egoisme    boukoussou
elargir    gnetoule
elephant    ndzoka
elevement    lekomoussa
embuscade    idikou
exbuscades    bidikou
empecher    legha
employeur    koumou
emporter    beta
emprunter    sombo
emprunteur    moussombichi
en l'air    ghou youlou
en plein jour    na nianga
en public    ya missa mia bata
encore rien    ki chela ve
endurer    mono  pagha
enfance    bounguebe
enfant    mwana
enfant terrible    levamba
enfanter    bota
enfants    bana
enfants terribles    mavamba
enfler    randouna
s'enfler    randa
enfoncer    tsoukoulou
enlever    massa
enlever    possa
ennemi    moubogho
enrouler    poto
enseignant    mou yighichi
s'enteter    sa  boudounda
entier    chi ibimba
entierement    chi outchi
entierement    mba-tse
entierement    chiossi
entierement    chi ibikba
entiers    bimbi
entourer    djinga
entre!    gningoula !
entre    ya penguidi
entree du village    tsombo bola
entrer    gningoula
envelopper    kota
s'envelopper    kouba lengoyi
environ    bele na
environ    mfweghi
s'epanouir    pandougha
eparpiller    gnetousse
s'eparpiller    gnetoughe
epaule    ikoukou
ephemere    letsoughou lemochi
ephemere    tchimba
epidemie    ivongo
epiler    doussoulou
epiler    doussala
epouses    bakedi
epousseter    koboula moufoundou
epreuve    mvoudi
eprouver de la joie    mono gninga
erreur    ileba
esclave    mouvegha
esperer    sa moutema
esperer    sa sitou
esperer    sa tsongo
espoir    tsongo
esprit    letengue
esprit    leniogni
esprit    bouyedi
esprit    moukouyi
