a cote de    ya panga a
fermer	djibougha
ouvre la bouche	djiboula mounio
reconnaître	djighala
regarder de travers	djikada
s'éteindre	djima
s'effacer	djima
effacer	djimoussa
éteindre	djimoussa
entourer	djinga
guetter	doko
picorer	doko
goutte à goutte	dou-dou-dou
grande cuillère	doudou
pâle	doudou
pagayer	doughou
succeder	doukou
suivre	doukou
gronder	douma
voler dans l'air	doumoughou
epiler	doussoulou
epiler	doussala
tirer vers soi	doutou
tirer	doutou
fumer	doutou cha ivolo
tire la langue!	doutou lilimi!
tirer quelque chose	doutoughou cha chela
route large	dzela i ineni
fatigue extrême	dzoughou
oui	è
plumer	foudoughou
blanchir	foukoussou
souffler	foulou
interroger	foulou
mettre à la porte	foundza
sciure	fourfouchi
miette	fourfouchi
sciure	fouroufouchi
debilité	foussou
recompenser	foutou
payer	foutou
croiser les bras	foutou cha miogho
boîte de conserve	foyo
boîte	foyo
caisse	foyo
finir	fwa
france	fwala
ressembler	fwana
faire ressembler	fwanassa
comparer	fwanassa
faire ressembler	fwanoussa
fou	galedi
rendre	ghaboussa
attacher	ghada
être maigre	ghassa na
maigrir	ghassa
craquer	ghassana
gratter	ghata
là-bas	gho na
respecter	ghobichi
honorer	ghobosso
être modeste	ghobachi
tortueux	ghodini
plier	ghodouchi
plier les genoux	ghodouchi mabongo
couver	ghodounou
anéantir	ghodoussou
bras	ghogho
bras entier	ghogho
la manche	ghogho
essuyer	ghokoulo
vers	ghona
longer une rivière	ghongoulo ndzeli
rivière	ndzeli
à la gauche	ghou kassa
à haute voix	ghou ketia youlou
dehors	ghou mbedi
vers	ghou panga
tout pres pe	ghou panga a
en haut	ghou youlou
en l'air	ghou youlou
au-dessus	ghou youlou a
pneu	ghoulou
chez	ghoumbogha
manifestation bruyante	ghoutouhou
grincer	ghweke
faire grincer	ghwekesse
initier	gnengoussa
faire entrer	gnengoussa
remplir	gnetoughe
s'eparpiller	gnetoughe
elargir	gnetoule
eparpiller	gnetousse
introduire	gni ngassa
écraser	gnigha
penétrer	gnigoula
entre!	gningoula!
entrer	gningoula
rond	guiguidi
vrai!	gwa!
vilain	i-bi
ananas	iba
canard sauvage	ibadanga
mur	ibagha
blanc	ibamba
peau	ibanda
peau de bête	ibanda
clan	ibanda
muet	ibebe
souvent	ibebele
moitié	ibedi
pian	ibende
colline	ibendaka
haine	ibene
chouette	ibida
bois du foyer	ibiki
dette ancienne	ibimba
abcès	ibimbiti
cadavre	ibimi
fermeture	ibindili
fléchir	ibondouna
carapace	ibonga
coquille d'oeuf	ibonga cha lemvoungou
ancêtre	iboutou
un paquet	iboutou imochi
herisson	icheke
antilope dormante	ichiba
lezard	ichili
souche d'arbre	ichinda
anus	ichoumbi
embuscade	idikou
durée d'une action	idjinga
toux interminable	ifenguele
fourou	ifoudi
ténèbre	ifoudou
oiseau	ifoudou
papillon	ifoudounganga
estomac	ifoundou
ressexblance	ifwenichi
comparaison	ifwenichi
poing	ighaba
valise	ighala
branche du palmier	ighele
respect	ighobichi
canard domestique	ighodo
tubercule	ighongo
caisse d'emballage	ighoughoudou
scie	ighwassa
gibier dépecé	ikakou
daba	ikanga
infirme	ikata
nouveau-né	ikegni
nouveau-né	ikegni cha mwana
etouffer	ikiba
bouton de gale	ikiengue
remplacant	ikissa
balai	ikokboulo
toussotement	ikossolo
crachat	ikossolo
coutûme	ikou
habitude	ikou
termitière	ikoughou
insecte	ikoughou
épaule	ikoukou
saynete	ikoumbou
albinos	ikouyi
baton de manioc	ikwanga
repas	ilamba
erreur	ileba
signe	ilemba
indice	ilemba
signe	ilemba
vernis	ilembi
machette	iletale
radeau	ilindi
vomissement	ilogha
limace	ilondji
fétiche	ilongo
plaine	ilongo
médicament	ilongo
guêpe	iloubi
miracle	imagha
brusquement	imbamba
avec brutalité	ibamba
moitié	imbeghi
vérité	imbouli
vrai	imbouli
règles	imbrendji
menstruations	imbrendji
règles prolongées	imerendji chia ileghi
règles abondantes	ikbrendji chia lotala
règles irregulières	imbrendji matsoghou make
règles douloureuses	imerendji tchinamogni boukeli
règles fréquentes	imbrendjitsou yochi
règles perturbées	imbrendji tswa kada tswa kada
punaise	imfoudou
tempete	imfoungou
veillée	imogho
patate douce	imongo
miracle	imoulou
témoin	imouni
cuisse	inama
célibataire	indenga
se fermer	indjibighi
porte	indjibougha
rotule	indjibougha cha lebongo
bête	indjili
image	indjima
statue	indjima
lieu secret	indongo
échelle	ineghili
dame-jeanne	ingamba
polygamie	inganda
stérilité	ingoumou
lion	ingoungou
vieux	inounou
rhumatisme	inwangou
radeau	ipegni
flatterie	ipele
famine	ifenga
aveugle	ipepidi
tenebres	ipfoundou
borgne	ipipidi
flacon	iponga
coussinet	ipoundili
bandelette	irende
pansement	irende
robe	iromba
ile	iromba
travail	issala
livre	issangangoubou
feuille de papier	issangangoubou
recompense	isseki
piquet	issoukou
étui pour couteau	issoupou
cachette	isweghi
chavirer	itagha
branche d'arbre	itaka
tente	italaka
clef	itchepi
chenille poilue	itchitsada
chenille	itchitsouda
taille	itele
assiette	itengue
cuvette	itengue chi ineni
une etendue	itetele
injure	itoughi
pauvre couillon!	itoukou!
campement de brousse	itsaka
lieu	itsegha
sans limite	itsigha
hoquet	itsokiatsoki
lignee familiale	itsoukou
troupeau	ivanda
abcès	ivanga
etable	ivanga
cicatrice	ividi
pari	ivigha
ébène	ivindou
mouche tsé-tsé	ivivi
tabac	ivolo
notable	ivonda
épidémie	ivongo
crapaud	ivoughou
indiscipline	ivoulou
turbulent	ivoulou
intelligent	iyedi
distance	iyende
aussi	ka
au revoir	ka na bwedi
porte-toi bien	ka na bwedi
depenser	kaba
partager	kaba
trahir	kabala cha kassa
trahison	kabalakassa
grand-parent	kagha
s'accrocher	kagha
mordre	kagha
mémé	kagha
grand-mère	moukassa
separer	kaghala
separer	kaghoula
diviser	kaghoussa
caler une table	kaghoussa
arracher	kakala
proteger	kala
repliquer à	kala cha mamba
se venger	kala cha penda
se retourner	kalagha
transformer	kalagha
devenir	kalagha
changer	kalagha
transformer	kalagha
mépriser	kama cha moutema
se facher	kambagha
rugir	kambagha
blamer	kambougha
se facher	kambougha
fermement	kamou
presser	kamouna
bouton de gale	kana
grille	kanga
griller	kanga
rotir	kanga
puce	kassa
dechirer	kassala
plaquer	katouna
coller	katouna
être collé	katoulla
plaquer	katoussa
coller	katoussa
crier	kaya
méchant	kechi
colère	kechi
pas méchant	kechi ve
soeur	kedi
punir	keghasse
couché	kekeli
allongé	kekeli
foudre	keki
bruit	kele
garder	kele
patienter	kele
attendre	kele
garder rancune	kele penda
bruit de pas	kele a katekbi
amer	keli
singe	kema
s'etonner	kema
voyager	kemba
se promener	kemba
être etonné	kemogha
se reunir	kokouna
faire rassembler	kokoussa
faire rassembler	kokassa
grouper	kokassa
se deshabiller	kola
adoucir	kolichi
douceur au toucher	kolo
faiblesse	kolo
se saouler	kolo malamdu
amollir	kolousso
monter	koma
monter	koma
monter au-dessus	youla
tisser	komo
faire monter quelqu'un	komoussa
planter	kona
planter le manioc	kona bapita
n'en plus pouvoir	kondo
rater	kondo
paille	kondza
graine d'oseille	konga
cil	kongui
être dans un etat maladif	konogho
abaissement	konoussa
abaisser	konoussa
gobelet	kopo
toux	kossolo kossolo
tousser	kossalo
danser	kena
danser toute la nuit	kena moubeka
intention	kendza
regarder	kengousse
verifier	kengousse imbouli
précautionneusement	kenguele
decouper	kesse
couper	kesse
juger	kesse
faire un pari	kesse ivigha
milieu	keti
encore rien	ki chela ve
pas du tout	ki ka pessa ve
tirer un coup de fusil	kiaka cha ndjedi
faire la navette	kiba
ricaner	kie kie kie
different de	kima
se rouler par terre	kingouda ya toto
rouler quelque chose	kingoussa chela
veiller	kissa
manquer	kita
louper	kita
succeder	kitoussa
remplacer	kitoussa
manquer	kitoussa
souvent	ko
tique	koba
heurter	koba
heurter un obstacle	koba libaka
epousseter	koboula moufoundou
être satisfait	kogha
statue	koka
s'envelopper	kouba lengoyi
balayer	kouboulo
brusquement	koubati
action	koue
bois pour le feu	kougni
chimpanzé	koulou
forêt lointaine	koumbi
nom	koumbou
employeur	koumou
fleur comestible	koukou
chef	koumou
glorifier	koumoussou
louer	koumoussou
découvrir	koundoulou
jalousie	kounou
descendre	kounana
perroquet	koussou
tromper par erreur	koutou
inculper	koutoulou
accuser	koutoulou
déceder	kwa
affamer	kwa ndzala
mourir	kwada
s'évanouir	kwada cha niamba
ceinture	kwamba
tabouret	kwanga
brancard	kwanga
abattre quelque chose	kwanga
abattre la plantation	kwanga nioungui
rencontrer	kwania
saisir	kwata
attraper	kwata
combien?	kwe?
marier	kwele
se marier	kweloune
jurer	laba
montrer	lagha
s'accoupler	lala
bouillir	lamba
arracher	lata
deraciner	lata
la vase	leba
masculin	lebaghala
garcon	lebaghoula
liane	lebamba
piège	lebanda
début	lebanda
manioc préparé	lebanda la pita
criquet	lebanga
machette	lebata
flèche	lebechi
dessein	lebeghi
cote	lebendji
sein	lebene
trou	lebila
mort subite	lebimbi
tour de taille	lebindi
refus	lebissa
joue	leboka
champignon	leboko
fertile	lebolo
prière	lebondo
genou	lebongo
naissance	lebota
vieux village	leboughou
fumier	leboumbou
brouillard	leboungui
nuage	leboungui
tente	leboungui landzanda
toile d'araignée	leboungui landzana
graine	leboutou
merci	lebwe la we
annoncer	lebala
balle de fusil	lechana
souche	lechina
origine	lechina
cendre	lefoutou
empecher	legha
interdire	legha
talon	leghenagnie
dignité	leghobo
obéissance	leghobousso
tatouage	leghoumbi
portion	lekaba
générosité	lekabou
main	lekaka
genre	lekaka
genre animal	lekaka la baniama
genre humain	lekaka la bata
tremblement	lekamba
le marché	lekassa
verge	lekata
partie sexuelle de l'homme	lekata
pénis	lekata
feuille	lekaya
faire chauffer	leke
verser avec précaution	leke
bouillir	leke
avoir la chance	leke la
mémoire	lekelesse
toujours	lekesse lossi
saison des pluies	lekesse lou mvoulou
le rire	lekieki
cri	leklha
bruits de pas	lekinda la matembi
cou	lekinga
banane	leko
bégaiement	lekokouna
augmentation	lekomoussa
élevement	lekomoussa
pigeon	lekonda
sagaie	lekongo
bille de bois	lekougni
cheville	lekoukou
dix	lekoumi
onze	lekoumi na imo
mariage	lekwele
pleurer	lela
ananas	lelanga
dire	lele
annoncer	lele
mentir	lele kala
se pendre	leleghe
palais de la bouche	lelelagha
citrouille	lelengue
hamecon	lelobo
papaye	lelolo
citron	lelouchi
suspendre	lelaghe
caillou	lemania
rocher	lemania
pierre	lemania
pierre à briquet	lemania la moukwete
concubinage	lembaka
piège à oiseaux	lendembe
sacrifice	lendembi
prix	lendji
lien	lendjita
noeud	lendjita
grand	leneni
bague	lengassi
crochet	lengobiki
rein	lengoundou
veste	lengoyi
vêtement	lengoyi
se hater	lenguesse
desobeir	lenguesse
le pouvoir	lenianga
autorité	lenianga
apuissance	leniang
esprit	leniogni
impot	lepa
patte	lepala
cuvette	lepela
sifflet	lepele
pain	lepembe
arachide	lependa
aile	lepepi
l'aile de l'aigle	lepepi la mbeda
lampe	lepi
chiffre	lepita la ranga
parapluie	lepoungou
chauve-souris	lepoungou
nombre	lerambou
filet de pêche	leriki
conte	lessaba
fable	lêssaba
rasoir	lessamba
souche	lesseme
menace	lessighala
manière	lessogha
avec pus	lessossobouton
achat	lessoumbou
fesse	letagha
tetard	letanga
oreille	letchwi
heure	letedi
soleil	letedi
midi	letedi leka keti a keti
aurore	letedi li temoune
puits	leteghoula
pied	letembi
jambe	letekbi
chaussure	letekbi
grande jambe	letembi le leneni
écriture	letende
esprit	letengue
goutte	letengui
goutte de sang	letengui la nguina
goutte à goutte	letengui-letengui
un suspect	letessele
succès	letogha
reussite	letogha
amour	letondo
banane douce	letoto
tisane	letseghe
cheveu	letsoughi
toute la journée	létsoughou la bouchi
ephemere	letsoughou lemochi
enfant terrible	levakba
jumeau	levassa
jumelle	levassa
hypocrisie	levedi
un os	levichi
haine	levida
vent	levogha
vagin	levoulou
menace	levova
dialogue	levovo
arrivée	leya
indigestion	leyotougha
répu	leyotougha
poignet	leyoukou
nez	le youlou
pagaie	languepi
omoplate	lapanga
sueur	laroghana
crachat	late
fontaine	lateghala
être fort	li napindza
tant pis	li ba
brousse inexplorée	libongui
filet de chasse	lichinga
dixième	likoumi
langue	lilimi
peuple	lilongo
chant	limba
chanson	limba
charbon	limbida
pate	litoki
vomir	logha
nommer	logha koumbou
maudire	logho
jeter un sort	logho
descente	lokana chia
aujourd'hui	lalo
faire remplir	loloussa
conseiller	longo
attiser	lassa
souffler sur le feu	lassa
attiser le feu	lassa cha mbwagha
depasser	lota
passer	lota
surpasser	lata
camion	loto
navette	loto la lasso ba bata
le camion passe	loto lo lota
abonder	lotola
morceau de bambou	loubechi
rivaliser	louna
remplir	loussa
furoncle	loussosso
piège	louswe
lieu secret	louswede
faire allusion	louta moughoudou
craie	lwembe
se quereller	lwana
habiller	lwata
changer de vêtement	lwata lengoyi lekima
s'habiller	lwatoussa
habiller quelqu'un	lwatoussa
corde d'un panier	lwebi
criquets	mabanga
machettes	mabata
planche	mabaya
maladie	mabeda
malade	mabeda
maladie du sommeil	mabeda ma cholo
lait de chèvre	mabena mataba
seins	mabene
malédictions	mabigha ma mabi
petit tubercule	mabila
tours de taille	mabindi
innocent	mabinga
gencives	mabita
joues	maboka
marchandises	mabomo
geuoux	mabongo
sperme	mabota
nuages	maboungui
souches	machina
origines	machina
sacrifices	madembi
cadeau	mafoutou
paiement	mafoutou
dot	mafwa
l'indiscipline	mafwa
rhume	maghoyo
mains	makaka
braise	makakala
feuilles	makaya
feuilles d'arbres	makaya ma mouti
poisson salé	makayaba
lèpre	makedi
rires	makieki
cris	makima
bananes	mako
cils	makongui
carrefour	makoulou
cent francs	makoumi mole
vingt	makoumi moli
latrines	makoussou
mensonge	mala
vin	mala
villages	mala
faux	mala
confluent	mala
rouille	maleli
citrouilles	malengue
félicitations	maloumbi
maman	mama
pierres	mamagnia
rochers	mamania
eau	mamba
eau qui boue	mamba ma ma togho
campements de pygmées	mambangou
couteaux	mambedi
machettes	mambedi-mabicoto
calebasses	mambenda
questions	mambigha
zoologiie	mambou ma baniama
parfois	mamegha ma ke
ronces	mamvoukou
finir	mana
achever	mana
terminer	mana
terminer le vin	mana mala
le vin	mala
les voix	mandagha
arbe	mandeda
pièges à oiseaux	mandembe
limites	mandila
frontières	mandila
fusils	mandjedi
maledictions	mandogho
rêves	mandoti
tams-tams	mandroungou
maintenant	mandzi
maintenant	na mandzi
maisons	mandzo
quelques cases	mandzo make
cadeaux	mandzolo
sommet	manenga
saison sèche	mangala
soins indigènes	manganga
angoisse	mangongo
vaccinations	mangongo
vetements	mangoyi
douleurs morales	manguengui
ongles	maniada
plantations	manioungui
dieu	manondzo
achever	manoussa
pattes	mapala
hâches	mapi bi
maroues	mapita
enlever	massa
dépiauter	massa ibanda
urines	massoba
boutons avec pus	massosso
fesses	matagha
tetards	matanga
les selles	matchibi
fidélités	matchimi
soucis	matchimi
oreilles	matchwi
salives	mate
crachats	mate
pieds	matembi
jambes	matembi
esprits	matengue
gouttes de sang	matengui ma nguina
réussites	matogha
bananes douces	matoto
plumes	matsala
les nouvelles	matsanga
larmes	matsanga
miettes	matsetsengui
miettes de pain	matsetsengui ma pembe
pieds d'une table	matsodi
piqûres	matsongui
enfants terribles	mavamba
les os	mavichi
pus	mavibia
vents	mavogha
rapidement	mawassa
feuille de manioc	mayagha
cieux	mayoulou
entièrement	mba-tse
à droite	mbaghala
fiancé	mbaka
concubine	mbaka
igname	mbala
campement de pygmées	mbangou
flèches	mbachi
aigle	mbeda
hier	mbedangui mbedi
demain	mbedi
couteau	mbedi
ici et là	mbedi a mbedi
machette	mbedi-icoto
ami	mbeghi
appel	mbela
corbeille	mbele
calebasse	mbenda
la vase	mbenda
côtes	mbendji
ravin	mbengue
question	mbigha
chasse au filet	mbinga
dos	mbissa
après demain	mbissa mbedi
lieu de repos	mbogha i bouvoma
lieu de repos	mbogha voma
coude	mbokoulo
python	mbomo
mortier	mboungou
bateau	mboungou
pirogue	mbouugou
la pirogue  chavire	mboungou i itagha
graines	mboutou
trompe d'éléphant	mbouyi
torche	mbwagha
feu	mbwagha
lumière	mbwagha
je	me
moi	me
c'est moi	me
je m'en vais	me ka mwenda
je suis	me li
je suis vivant	me li wiegni
j'ai mal pour uriner	me monanga boukegni ya me
moi-même	me mwene
j'urine beaucoup	me niaka massoba bouleghi
j'urine au lit	me niaka massoba ghou tengui
j'urine goutte  à goutte	me niaka massoba letengui-letengui
je n'urine pas	me niaka massoba ve
j'urine souvent	me niakanga massoba
j'y vais	me pa yende
jai soif	me peya mamba
j'y vais	me pi yende
huile	medi
graisse	medi
gouter	megha
fil d'un couteau	mengue
coiffer	mfoughou
poudre de chasse	mfoulou
chasser quelqu'un	mfoundzou
environ	mfweghi
glissade	mfwelili
traces de petits animaux	mianda
venins	miangoula
baillements	miassala
machoires	mibanga
manifestations	mibeka
travaux	midiandza
marigots	midjagha
grands tubercules	midoudou
rides	mignita
mille	mikama lekoumi
mille francs	mikama mioli
deux cents	mikama miola
testicules	mikegni
aurores	mikiakia
chevrons	mikokolo
pets	mikouchi
poils	mi koungou
fantômes	mikouyi
ceintres	milelaghe
doigts	milemba
mangues	mimanga
chants	mimba
dents	mina
avaler	mina
jeûner	mina  cha koughi
cruches en terre	miniomi
les noirs	minombi
les bras	miogho
être bredouille	miogho na miogho
ventres	miogni
manioc	miondro
jugements	mipamou
pièges	miramba
rayons du soleil	misondji mia letedi
loucher	missa mia vengougha
souches	misseme
origines	misseme
parassoliers	missengue
d'accouchement	missongo douleurs
boyaux	missopo
palabres	missosso
toiles d'araignées	missoundji mia ndzanda
cannes à sucre	missoungou
jeux	mitamba
trompes d'élephant	mitchipa
médicaments	miti
arbres	miti
ces arbres	miti mi
boutures de manioc	miti mia bapita
bouts des doigts	mitswe mia milemba
tresses	mivanda
les riches	miyoumounou
ce sont lesquelles?	mo megni ?
un	mochi
veiller	mogho
ventre	mogni
visite	mono
voici	mono
voir	mono
craindre	mono bomo
voir le bien	mono boubwe
voir bien	mono bwedi
éprouver de la joie	mono gninga
voir la lumière	mono iyalala
regretter	mono manguengui
souffrir	mono mimbondo
consulter le guerisseur	mono nganga
endurer	mono pagha
avoir honte	mono tsogni
voir clairement	mono vele
depuis que	mou banda
depuis le temps que	mou banda letsoughouli
pourquoi?	mou biki ?
demandeur	mou bondi
promenade	mou ghenguili
pourquoi?	mou ki?
réel	mou mbouli
enseignant	mou yighichi
à partir de	moubandaa
à partir du matin	moubanda ngweli
croire	moubangaka
bandit	moubanga
maladif	moubeda
le gagnant	moubeghi
céremonie	moubeka
manifestation	moubeka
guerisseur	moubelichi
manche de couteau	moubenda
culotte	moubeti
cache sexe	moubeti
bord	moubiloula
cadenas en bois	moubindagha
boue	moubinga
chasseur amateur	moubingui
guide	moubiti
conducteur	moubiti
succession de choses	moubiti
ennemi	moubogho
negociateur	moubondi
pygmée	moubongo
cochon	moubongo
porc	moubono
baton pour se battre	mouboto
medecin	mouboughi
soigneur	mouboughi
tortue	moubouloukou
tueur	mouboumi
fourchette	mouchebe a tsatsa
menace	mouchibala
lien	mouchinga
corde	mouchinga
amulette	mouchioughou
acheteur	mouchoumbi
vendeur	mouchoumbichi
commercant	mouchoumbichi
clair de lune	moudanga
bataille	moudenga
métier	moudiandza
travail	moudianza
travailleur	moudiendji
marigot	moudjagha
menace	moudjinga
bagarre	moudjinga
bataille	moudjinga
guetteur	moudoki
grand tubercule	moudoudou
question	moudoughou
voyage	moudzonga
vapeur	moufoudi
adolescent	moufoudou
foussiere	moufoundou
dette recente	moughanou
arc-en-ciel	moughiama
militaire	mougholi
gendarme	mougholi
bord de la rivière	mougholi a ndzeli
soldat	mougholo
ride	mougnita
colonne	mougongo
cent	moukama
chevron	moukamba
dame	moukassa
vitesse	moukassa
femme mariée	moukassa
femme mariée	ba kwele
jeune fille	moukassa wa ve kwele
femme célibataire	moukassa wa ve kwele
femme qui allaite	moukassa wouve mabele
juge	moukechi
feminin	moukedi
femelle	moukedi
testicule	moukegni
garde	moukeli
sentinelle	moukeli
protecteur	moukeli
une nouvelle	moukenda
racine	moukengui
veine	moukengui
autre	moukima
voyageur	moukikimbi
peau humaine	moukobo
chat	moukogho
chevron	moukokolo
soir	moukolo
dard	moukomba
petite crevette	moukosso
paquet	moukota
explorateur	moukoti
visiteur	moukoti
il est court	moukoubi
petitesse	moukoubi
pet	moukouchi
descente	moukoudi
montagne	moukoudi
veuf	moukouli
veuve	moukouli
pendant que	moukoulo
pendant que	moukoulou wou
tempête	moukoungou
poil	moukoungou
foule	moukoungui
coccyx	moukouroukoutou
ancêtre	moukoutou
par hasard	mou matessele
sur la pointe des pieds	mou matsoumbiti
c'est vrai	mou mbouli
quant à moi	mou me
pour toujours	mou moubou
en vain	mou ndzolo
volontairement	mou teba
par pitié	mou tinga
ancêtre	moukoutou
esprit	moukouyi
fantome	moukouyi
esprit	moukouyi
heritage	moukwegni
heritage	moukwegni
trou de rat	mouleka
fou gueri	mouleledi
raconteur	mouleli a mamba
ceintre	moulelaghe
index	moulema a douka na ngou
doigt	moulemba
auriculaire	moulekba tchichi
pouce	moulemba-ngou
pleureur	moulili
jeteur de sorts	mouloghi
mauvais sorcier	mouloghi
bracelet	moulonga
collier de cuivre	moulonga
bague au doigt	moulonga moulemba
une rangée	moulongo
la rangée de	moulongo a ba
un conseiller	moulongui
reveur	mouloti
mari	mouloumi
guerrier	moulweni
bagarreur	moulweni
mangue	moumanga
chasseur professionnel	moumbanda
tirer un coup de f~sil	mouna ndjedi
herbivore	moundji a bimba
corde	moundjighi
chef de famille	moundomba
beau-frère	moundzeli
civette	moungania
gorge	moungonga
clavicule	moungongobi
noyau	moungui
sel	moungyla
sable	mounienga
nudité	mouniengue
gueule	mounio
bouche	mounio
cruche en terre	mouniomi
profondeur	mouniongui
buveur	mouniouwi
noir	mounombi
manière	mounongo
chapeau	moupaka
nouveau village	mdupaka
canne pour marcher	moupanga
baton four marcher	moupanga
noir	moupindi
sauveur	moupotili
piège	mouramba
riz	mourechi
ivrogne	mouroki mala
barrière	mouroumba
sixième	moussamouna
médaille	moussanga
cuiller	moussebe
travailleur	mousseli
parassolier	moussengue
habitant de	moussi bola
les gabonais	moussipoungou
ver	moussobi
diarrhee	moussobougha
panier à pêche	moussomba
emprunteur	moussombichi
boyau	moussopo
palabre	moussosso
pilon	moussou
diarrhee	moussoubagha
angle(= cain)	moussoughou
panier à pêche	moussoundi
canne à sucre	moussoungou
chair	moussouniou
homme  de debauche	mouta boupoupoulou
nombre	moutala
personne aimée	moutame a moutema
cinquième	moutana
troisième	moutata
la parenté	moutchigha
lien de parenté	moutchigha
trompe d'élephant	moutchipa
exprès	mouteba
volontairement	mouteba
coeur	moutema
centre	moutema
midi	moutema ba bouchi
fermement	moutema lekama
courageux	moutema lekama
midi	moutema nianga
pouls	moutema tsoka
bagage	moutete
bagage	moutete
arbre	mouti
germe de tubercule	mouti a ighondo
vulve	moutonga
clitoris	moutongui
mille	moutossina
quelqu'un	moutou
une personne	moutou
homme	moutou
homme de debauche	moutou a boupoupoulou
homme mort	moutou a kwa
personne chérie	moutou a me wa moutema
savant	moutou a yaba
homme sot	moutou indjili
une personne	moutou moumochi
homme grand	moutou ou mouneni
pas une personne	moutou ve
qublqu'un assis	moutou va tsaghala
batisseur	moutoungui
septième	moutsamba
le manche	moutsoudou
forgeron	moutsouli
fourchette	moutsoumou
griot	moutsoundi
éclair	mouvediavedi
esclave	mouvegha
mollet	mouvindi
le manche	mouvinia
parlbur	mouvovi
raconteur	mouvovi a mamba
pas pour toi	mouwe ve
disciple	mouyighi
maître	mouyighichi
chanteur	mouyimbi
sauveur	mouyobili
parfum	mouyombo
profondeur	mouyongo
auditeur	mouyoughi
auditeur	mouyoughili
interpreter	mouyoukili
riche	mouyoumounou
épreuve	mvoudi
masque d'animal	mvoudi
campement de pygmées	mvoudou
ronce	mvoukou
étoile	mvoulili
pluie	mvoulou
cadavre	mvoumbi
chien	mvwendi
enfant	mwana
fils unique	mwana wa lekita
affluent	mwanandzeli
trace de fetit animal	mwanda
baillement	mwassala
départ	mvenda
la marche	mv'ende
présentation	mwesse
montrer	mwesse
toi aussi	na we
aussi	na
qui ?	na ?
vous aussi	na benou ka
doucement	na boutsogha
sans violence	na boutsogha
grossesse	na djimi
suspect	na ke nde
doucement	na koundou
à voix basse	na koundou
matin	na ngweli
en plein jour	na nianga
je ne suis pas capable	me na nioutou ve
s'allumer	nama
briller	nama
être allumé	nama
nouveau	namandza
coudre	namougha
allumer pour	namoussa
transmettre	namoussa
contaminer	namoussa
détendre	nanouna
voix	ndagha
langage	ndagha
promesse	ndagha
parole	ndagha
liane caoutchouc	ndamba
ballon	ndamba
caoutchouc	ndamba
liane	ndanga
il	nde
lui seul	nde boutoubou
lui seul	nde mwe
seulement	ndila
seulement lui	ndila nde
déjeuner	ndja
manger	ndja
assieds-toi	ndjala
asseyez-vous	ndjalagni
palabre	ndjamba
fusil	ndjedi
grillon	ndjeme
plaisallterie	ndjesse
dent	ndjima
un inconnu	ndjindza
étranger	ndjindza
gorille	ndjiya
fétiche	ndjobi
malédiction	ndogho
conseil	ndongui
rêve	ndoti
île	ndoubi
frère	ndoumi
piment	ndoungou
tam-tam	ndroungou
concombre	ndzaka
courge	ndzaka
faim	ndzala
araignée	ndzanda
piste	ndzela
chemin	ndzela
rivière	ndzeli
dieu	ndzembi
maison	ndzo
termitière	ndzo batche didi
toile d'araignée	ndzo dzanda
grande maison	ndzo i inini
une maison	ndzo imo
termitière	ndzo tchi didi
éléphant	ndzoka
une autre maison	ndzokima
caprice	ndzola
vantardise	ndzola
marmite	ndzoungou
chaleur	ndzougouli
transpiration	ndzounguili
l'autre maison	ndzoyena
aussi	ne
il est venu aussi	ne ndè idi
agrandir	nebousse
blesser	nebousse
fourou	nengue
porteur d'amulettes	nga bilongo
hypocrite	nga levedi
menteur	nga mala
gourmand	nga moudoukou
comme	nga na
un suspect	nga na ti
vantard	nga ndzola
possesseur	ngachela
famille	ngagha
flatteur	ngaipele
jaloux	ngakounou
indiscipliné	ngamandzanga
guerisseur	nganga
rancunier	ngapenia
prisonnier	ngatsoughou
silure	ngolo
porc-épic	ngomba
guitare	ngombi
boeuf	ngombo
viande de boeuf	ngombo
lune	ngondi
mille-pattes	ngongoulo
mère	ngou
la gauche	ngoula kassa
la droite	ngoula mbaghala
une côte	ngoulou
de l'autre coté	ngoulou yena
l'autre	yena
gourmand	ngoussou
sanglier	ngoyi
fétiche	ngoyi
parce que	ngue mou
petit	nguebe
acide	nguegni
une pupille	nguegni
douleur morale	nguengui
regret	nguengui
un interdit	nguidi
tombe	nguila
cimetière	nguila magnima
sang	nguina
chiffre	nguindza
jusqu'à	nguioma
quelqu'un d'âgé	ngwamoutou
adulte	ngwamoutou
le grand	ngwamoutou
libéllule	ngwanaguegni
perdrix	ngweli
innocence	ni mabinga
ne parle pas	nia vovo
ongle	niada
griffe	niada
abdiquer	niagha
laisser	niagha
cesser	niagha
ne parlez pas	niagha gni vovo
ne pas	niagha gni
ne parle pas	niagha vovo
ne pas	niagha
se soulager	niaka
gibier	niama
viande	niama
grand animal	niama
grand animal	mouneni
viande crue	niama woumoubissa
viande pourrie	niama-bolo
evanouissement	niamba
disparaître	niambouna
se perdre	niambouna
semer	niandza
chaleur du soleil	nianga
deplier	niangala
laisser	niangassa
défaire	niaugoula
délier	ni angoula
buffle	niedi
boire	niodo
fumer	niodo
faire boire	niodosso
perte	niongo
chique	niongo
disparaitre	niongo
se perdre	niongoussa
abeille	nioughi
plantation	nioungui
rhumatisme	nioutonguengui
corps	nioutou
chance	nioutou boubwe
avoir de la chance	nioutou boubwe
santé	nioutou mbimbidi
