a    de
missongo douleurs    d'accouchement
missopo    boyaux
missosso    palabres
missoundji mia ndzanda    toiles d'araignées
missoungou    cannes à sucre
mitamba    jeux
mitchipa    trompes d'élephant
miti    médicaments
miti    arbres
miti mi    ces arbres
miti mia bapita    boutures de manioc
mitswe mia milemba    bouts des doigts
mivanda    tresses
miyoumounou    les riches
mo megni ?    ce sont lesquelles?
mochi    un
mogho    veiller
mogni    ventre
mono    visite
mono    voici
mono    voir
mono bomo    craindre
mono boubwe    voir le bien
mono bwedi    voir bien
mono gninga    éprouver de la joie
mono iyalala    voir la lumière
mono manguengui    regretter
mono mimbondo    souffrir
mono nganga    consulter le guerisseur
mono pagha    endurer
mono tsogni    avoir honte
mono vele    voir clairement
mou banda    depuis que
mou banda letsoughouli    depuis le temps que
mou biki ?    pourquoi?
mou bondi    demandeur
mou ghenguili    promenade
mou ki?    pourquoi?
mou mbouli    réel
mou yighichi    enseignant
moubandaa    à partir de
moubanda ngweli    à partir du matin
moubangaka    croire
moubanga    bandit
moubeda    maladif
moubeghi    le gagnant
moubeka    céremonie
moubeka    manifestation
moubelichi    guerisseur
moubenda    manche de couteau
moubeti    culotte
moubeti    cache sexe
moubiloula    bord
moubindagha    cadenas en bois
moubinga    boue
moubingui   chasseur amateur
moubiti    guide
moubiti    conducteur
moubiti    succession de choses
moubogho    ennemi
moubondi    negociateur
moubongo    pygmée
moubongo    cochon
moubono    porc
mouboto    baton pour se battre
mouboughi    medecin
mouboughi    soigneur
moubouloukou    tortue
mouboumi    tueur
mouchebe a tsatsa    fourchette
mouchibala    menace
mouchinga    lien
mouchinga    corde
mouchioughou    amulette
mouchoumbi    acheteur
mouchoumbichi    vendeur
mouchoumbichi    commercant
moudanga    clair de lune
moudenga    bataille
moudiandza    métier
moudianza    travail
moudiendji    travailleur
moudjagha    marigot
moudjinga    menace
moudjinga    bagarre
moudjinga    bataille
moudoki    guetteur
moudoudou    grand tubercule
moudoughou    question
