à la mode    édzam énga lorang
crayon    nkôs
creuseraf    ákh
crier    ayône
crier    along
crier    ayônane
critiquer    assòkh
critiquer    akobe mot abé
croire    abune
croire    ayebe
cueillir    afar
cuillère    tokh
cuillère    ôzome
cuisine    kissine
cuisse    àbégn
cuivre    ngoss
culotte    étùnesore
culotte    odzát
culotte    odzár
cultiver    abégn
cupidité    adzô miang
cuvette    ntseng
cyclone    nkule
d’abord    ossunzoghe
d’abord    ossussua
d’accord    ohoo
d’accord    nale
dactylographier    atsili minsine
daigner    abo 
daigner    ayebe
daman    gnôkh
damner    adzigh ôtôtôlane
dandiner    ayo’o 
dandiner    andangle
danse    abókh
danser    adzem
darder    awâ afégn
dater    alor ayap
dauber    aler eossôn 
dauber    aveossama
dealer    assomane
déambuler    akeandeng 
déambuler    awule zeze dule
déballer    akûl éndendang 
déballer    akûl éyâ
débander    ava bande 
débander    akukafeyâ
débaptiser    assangle éyola
débaptiser    avâ batem
débarbouiller    atugh assu
débarquer    aküign 
débarquer    asso tuna agnû
débarrasser    ava 
débarrasser    aligh 
débarrasser    ake
débattre    akal medzo 
débattre    akal táng
débaucher    ava mot bissègn
débiliter    ave mot atek 
débiliter    ave ônder
débiner    assokh mot 
débiner    akobe mot abbé
debout    tetele
débrousser    alí
début    ataregha
début    assumegha
de côté    avye
déchirer    agnab
décider    ayili
dedans    été
défaut    atá
défendre    akame
défilé    nfila
dehors    atáne
délation    nkuane
délation    nfukh
délation    ékobekobe
demain    òkírí
demande    nsili
demander    assili
démangeaison    mintsàng
démarche    dulu
déménagement    ntokh
demi    étun
démolir    atsam
dent    ass’ông
départ    meke
départ    nkeâne
depuis    ane
depuis    ave
dernier    susugha
dernier    sugha
derrière    onvus
de scen dre    assì
déshonorer    assamle
déshonorer    abiàne
désir    ozáng
désir    nkômane
désordre    ongamlane
désordre    tugha
dessin    évegla
dette    nvôla
dette    ékôla
devant    ossû
devenir    atobe
différent    anval afe
différent    nselane
difficile    ndzùkh
difficile    ayègn
dimanche    suan
dimanche    sone
dire    adzó
diriger    adzüé
diriger    alere nzen
discuter    alèè minláng
distance    ntégn
doci le    mewôkh
docteur    dokira
doigt    ônú
donc    nale
donc    nde
donner    ake’e
dorloter    alíng
dorloter    afóng
dormir    akeôyo
dos    nvús
dot    nsua
dot    nsuabikiègn
dot    akume
doux    évôvuègn
doux    nvogh
doux    nvua
drapeau    nlingha
droit    sôssô
droite    meyôm
drôle    mamme lüègn
drôle    fiàng
dur    alett
dur    ayègn
durer    abem
durer    atabe ayap
dysenterie    ôkon mekî
eau    mendzim
ébahir    ayüiè agnu
ébarber    akeng zel
s'ébattre    ayó 
s'ébattre    amarre
ébaucher    assumbô dzam
éblouir    ave ndzim 
éblouir    ave nvègn
éborgner    ave ndzím
ébouillanter    atsighe
ébouleras    suglane
ébouriffer    énen zamzamane
ébranler    atsàm
ébrécher    asseghe
s'ébrouer    assamlennô
ébruiter    abô édung 
ébruiter    abôzoghe
écailler    akùle
écailler    akùle akpwepwè
écailler    avâ biba
écarquiller    ayüiè mis
écarteler    andine vôm asse 
écarteler    ave megnung
écarter    andam
échafauder    alóng
échancrer    afagh
échanger    assangle
échasse    ndome
échoyey    ebe
éclair    felefes
école    sikolo
écor ce    évine
écouter    abèè
écouter    awokh
écouter    avôgôlô
écraser    akokh
écrire    atsili
effacer    atsam
éléphant    zokh
éloquent    akeng nkobe
empêcher    akame
emprunter    akôlô
enceinte    abum
encore    fe
encore    angenan
endroit    vôm
enfant    mong
enfant    moan
enfant    nkengle moan
enlever    ava
enlever    awôle
ensemble    nsama
ensemble    ngàm
ensuite    assuglane
ensuite    ônvús vale
entendre    awokh
enterrer    adzé
enterrer    adzam
entier    ngum
entier    ngura
entre    ézang
entre    ézezang
entreprise    mbànà
entrer    agni
envie    ozáng
envie    nkômlane
envoyer    alôm
épais    àfíp
épaule    étul
épaule    abán
épervier    nvisa
épingle    ébanegha
esclave    ôlo
esclave    nsagha
esclave    nkôm
esclave    éngèntsá
escroc    medùgn
escroc    wúp
escroc    nvôô
espace    évüign
espace    làme
espèce    aval
essuyer    afime
essuyer    atsi
estomac    ossáng
éteindre    adzim
étoile    otétégn
étonner    akám
étonner    asseme
étonner    assigane
être    éne ya
être    aküign
être    atobe
étudier    ayeghe
éviter    assagle
exemple    éfonan
exemple    éveglane
exemple    évegle
expliquer    atsinan
expliquer    atsime
expliquer    akalane
exprès    aváng
faire exprès    aváng
extraordinaire    énzenzam
extraordinaire    ébibìgn
extrémité    sugha
fabriquer    alóng
fabuler    akôbe abüign
face    assu 
fâcher    awokh olún
facile    ébugbú
facile    ébubú
faciliter    ave ébubú
façon    aval
façonner    aba
facturer    avetáng
fagoter    abô bibang bindzagha
faible    atekh
faible    ôbôbot
faible    égnegneng
faiblir    abô ategh
faim    zègn
faire    abô
se faisander    aligh tsít ébwègn
faisander    aligh tsít ébwègn
falloir    ayiane
falsifier    abônvó
familiariser    avebane
fanatiser    abira agnegh
fantôme    kôn
fardeau    mveghe
fatigue    nvorane
fatigue    ateghgnól
faute    étom
faute    ékop
faute    medzop
femme    minenga
fer    ékiègn
fer à repasser    ayàn
fer à repasser    akókh
fermer    adzìp
fermer    adú
fermer    afer
festin    nnám
fête    essessang
fête    abôkh
fête    fett
feu    nduane
feuillage    mekègnm’élé
feuille    okiègn
filet    avote
fille    mon-a-minenga
fille    ézuti
fille    essila
fils    mon-a-fam
fils    ndomane
fin    amane
finir    amane
fleur    sàm
fleurir    assàm
fleurir    aküign
fleuve    mura ochign
flirt    ayas
flirter    àgnángane biyá
fois    éyòng
fondre    agneme
force    ngul
force    ngû
forger    alüign
fort    ngùl
fou    akútt
fou    okúkútt
fougère    akôla
fourchette    olúm
français    fulassi
frapper    ayit
frapper    abôm
frapper    ayít
frère    moadzang
frère    monegnang
fronde    toló’ó
fronde    mbandama
frontière    nni
frontière    maghane
fumée    otsira
fumier    akùne mbiène
fusil de chasse    ngal
fusil de chasse    ngâ
fusil de chasse    zala
gâcher    andaman 
gâcher    ayüign ntukh
gaffer    abô ébirane
gager    atsine atsing 
gager    aban fine
gagner    awún 
gagner    adeng
galaxie    minkúr mi aki
gale    ntsang
galérer    adzim’anîng 
galérer    awu zégn
galonner    abwar gnang 
galonner    abwar mot zigle
galoper    awule nkalbègn ayó
galvaniser    assugh a si
galvauder    abirane 
galvauder    adâ
gambader    awule 
gambader    amare
gamberger    afas
gangrener    ayeghe nnô abbé
garantir    akagh dzôm
garder    akale
gardien    mbagle
garer    atele
genou    abong
gens    bot
gourdin    abongélé
goutte    atuè
graisse    avong
grand    anen
grand    ayap
grand-parent    mvan
grand-parent    mvama
grenier    akàng
guerre    bitá
guerrier    nlulumane
guerrier    ntôtôkh
guerrier    éyokh
habiliter    alere dzam
habiller    abwar
habiter    atobe 
habiter    aning 
habiter    along nvokh
habitude    fulu
habituer    avebane
hache    ôvône
hacher    akigh bone mefus
hachurer    adu meyáng
haine    zíng
haïr    afem 
haïr    avine
hameçon    assong nnop
haut    yôp
herbe    élókh
heure    awala
histoire    nláng
homme    mot
hôpital    ndamebiang
hôpital    oguarfila
houe    ébakh
huile    mbwan
huile    mbone
ici    va
idéaliser    avenvègn 
idéaliser    abere mot oyó
identifier    adzeng 
identifier    afas
idiot    nsusukh
idolâtrer    akangbiyema
igname    andia
ignorer    adzime
illuminer    afègn
illusionner    ayénbilè 
illusionner    ayengbe
illustrer    avengane
image    évegla
imaginer    assimane
imbiber    adzègn
important    nfang
impôt    nfóngsi
infirmité    éyem
intelligent    akeng
intelligent    nkekeng
interdit    éki
interdit    nkilane
interdit    nkaman
intérieur    été
ivre    nsokh meyokh
ivrogne    mbil meyokh
jacasser    abô abüign édung
jacter    abira kôbe
jaillir    aküign 
jaillir    akule
jalonner    ave mendem
jalouser    abô abéane
jamais    keghe
jamais    kaâdzôm
jambe    abo
japoniser    avengane moan Japonais
japper    abôm
jardin    nfìne
jardin    messàmabeng
jardiner    abégndzôm
jargonner    alôb 
jargonner    akôbe élob 
jargonner    ene élôb
jaser    akôbe aküign
jaune    nfô’ô
jeter    awâ
jeter l'encre    awa gnela
jeu    bivüign
jeune    ndomane
jeune    mong
jeune    ngon
joie    nvègn
joie    mevakh
joli    mbeng
joue    amáng
jouer    avüign
jour    mos
jour    omos
journal    kalara
journal    mefuègn
journée    zàng omos
journée    zé mo bibam
