à la mode    édzam énga lorang
sifflet    ovial
sifflet    viong
sifflet    élong
acajou    oveng
léger    ovevesse
petit-fils du petit-fils    owabang
arachide    owòne
oui    owôô
d’accord    owôô
oui    owé
d’accord    owé
gilet    owôs
espoir    oyana
loin    oyáp
éloigné de    oyáp
langue    oyem
cravate    oyem égnakh
tournevis    oyen
cri de joie    oyenga
sommeil    oyo
assez    oyôm
minibar    oyôm sop
petite saison sèche    oyone
l'été    oyone
envie de faire quelque chose    ozáng
danse traditionnelle    ozila
cuillère    ozóm
abus    ozôrbe
papa    pepa
petit banc    pkwâ
tabouret    pkwâ
alouette    pwawara
brosse à dents    pwepwa
petit déjeuner    pwepwa ngii
pas    sa
pas de    sa
tendre    sám
fleur    sam
acide, aigre    sáng
pagne, étoffe    sana
clou, pointe    sén
chemise    set
sol    sí
terre    sí
pays    sí
cigarette    siga
école    sikolo
cours    sikolo
apprentissage    sikolo
casserole en aluminium    siliba
chaussette    sitókh
inventaire    sitókh
antilope sacrée    só
rite initiatique    só
savon    soba
évanouissement    sóm
fatigue    sóm
jeu de calcul et de stratégie fang    song
jeu de calcul et de stratégie fang    songo
tante    sóng
bar    sop
pantalon    sore
fin    sugha
final    sugha
dernier    sugha
avarié    sun
pourri    sun
fin    susugha
dernier    susugha
coton    sut
la grande saison des pluies    sughu
tabac    tagha
temps    tám
petit filet de pêche    tán
épuisette    tán
nombre    táng
calcul    táng
prix    táng
mon père    tare
serviette    tawôlô
serviette    tôle
debout    tetele
cuillère    tókh
lance-pierre    toló’ó
fronde    toló’ó
grand arbre parasol    tôm
instrument à vent    tóng
sirène    tóng
assis    toto’ó
réveillé    toto’ó
bateau    tsime
animal    tsít
un peu    tsítsakh
petit    tsítsakh
insuffisant    tsítsakh
poitrine    tsügn
peu    tsutso
petit    tsutso
insuffisant    tsutso
esclave    tulo’ó
personne à tout faire    tulo’ó
ici    vá
là    valé
là-bas    valé
ici    vana
seulement    ve
rien que    ve
où ?    vé ?
où    vôm
seulement    ve
sauf    ve
sauf    ve
excepté    ve
gourmand    viakh
chaleur du soleil    vian
marmite    viokh
sifflement    vióng
sifflotement    vióng
endroit    vóm
batele be metua parking    vóm
reception    vóm bagnong bot
élection    vôt
scrutin    vôt
toi    wa
tu    wa
te    wa
chimpanzé    wagha
chimpanzé    waâ
soldat    wale
câble d’acier pour tendre les pièges    waya
son    wégn
sa    wégn
main    wô
bras    wô
province septentrionale du Gabon    Woleu-Ntem
et    wonaá
alors    wonaá
ainsi    wonaá
peur    wòng
angoisse    wòng
crainte    wòng
un    wuâ
une    wuâ
là    wuégn
là-bas    wuégn
miel    wüign
vol    wúp
comment ?    ya
oui !    yaâ
d’accord !    yaâ
évidemment    yaâ
chanvre indien    yàme
cannabis    yàme
grille à grains    yáng-yáng
de l’autre côté    yat
au-delà    yat
avec    ye
vallée    yee
ravin    yee
précipice    yee
est-ce que tu t’accroches ?    ye oyeme
est-ce que tu pètes la forme ?    ye one nvogh minsône ?
comment ça va ?    ye one nvogh ?
est-ce que les affaires marchent ?    ye mam ma wulu ?
vitrine    yena
miroir    yena
bricole    yobe
bricolage    yobe
petit job    yobe
fleuve légendaire    yom
déodorant    yoma
ciel    yôp
paradis    yôp
haut    yôp
en haut    yôp
le tien    é yüa
ton    é yüa
qui?    zá?
fusil    zala
carabine    zala bezokh
pas clair    zalane
tonnerre    zalang
lèpre    zam
délicieux    zám
appétissant    zám
raphia    zàm
milieu    zang
au milieu    zang
panthère    ze
léopard    ze
morceau de manioc    zekh mbông
famine    zègn
cheveu    zeng
poil    zeng
d’un côté (pantalon)    zelane
barbe    zel
barbe    ze’e
chemin    zen
sentier    zen
libre    zeze
inoccupé    zeze
médaille    zigle
aversion    zíng
haine    zíng
arôme    zing
odeur alléchante    zing
grande antilope    zíp
bruit    zogo
éléphant    zokh
envieux    zókh
jaloux    zókh
médisance    zókh
couteau de chasse    zokh bam
mitraillette    zok minkane
espèce de légume    zom
aubergine    zóng
mousse glissante verte    zoreghebone
droit    zossó
droiture    zossó
honnête    zossó
droit    sosso
droiture    sosso
honnête    sosso
pigeon    zúm
arrière-train    zút
fesse    zút
mekane    zút
homme    fám
petit garçon    moan fám
vieil homme    nnôm fám
grand homme    gnà fám
femme    minenga
petite fille    moan minenga
vieille femme    nnôm minenga
femme mûre    gnà minenga
mâle    nnôm
chien    nnôm nvú
un coq    nnôm kú
femelle    ngál
une chienne (femelle)    ngal nvú
une poule (femelle)    ngal kú
mâle    essa
femelle    ékômà
un gorille mâle, chef de troupeau    essa ngì
une femelle de gorille    ékômà ngì
père    essa
mère    gnia
père    tare
mère    nane
papa    tata
maman    nana
papa    tita
père    tita
maman    nina
mère    nina
oncle    gnandomo
tonton    gnandomo
tante    song
frère    ndôm
sœur    kal
sœur    kâ
mon frère    moadzáng
frère    monegnáng
deux hommes sont en prison    bot be bègn bene mimbòkh
les hommes sont dans deux villages.    bot bene minlàm mi bègn
enfant de    moan
petit    mone
un peu    mone
neveu fils de sœur    moneka
mon frère    monedzang
ma sœur    monedzang
ton frère    monegnong
ta sœur    monegnong
enfants    boan
petits    bone
un peu    bone
neveux    bobeka
fils de soeur    bobeka
mes frères    bobedzang
mes soeurs    bobedzang
tes frères    bobegnong
tes soeurs    bobegnong
orphelin    monegnul
orphelins    bobegnul
petit-fils    ndégn
petits-fils    bendégn
pygmée    nkü
pygmées    bekü
père    tare
pères    betare
mère    gnia
mères    begnia
mari    nnôm
maris    beyôm
hôte    nneng
hôtes    beyeng
sorcier    nnem
sorciers    beyem
ennemi    ngín
ennemis    beyín
femme    ngal
femmes    beyal
taon à ventre blanc    abîmo
frayeur    angône
horrible    angône
taons à ventre blanc    babîmo
frayeurs    bangône
père    essa
pères    bessa
pluie    élome
pluies    bélome
moineau    édzele
moineaux    bédzele
tourbillon    ôlele
tourbillons    bôlele
gardien    mbagle
porteur    mbeghe
celui qui fait    mbo
passeur    nda’a
cuisinier    nyam
nageur    ndzokh
gardiens    bebagle
porteurs    bebeghe
ceux qui fait    bebo
passeurs    benda’a
cuisiniers    beyam
nageurs    bendzokh
tabou    ékî
beau-père    nkîa
belle-mère    nkîa
force    kî
homme fort    nkîbe
peur    wòng
peureux    nwòng be
touraco rouge    mba
touracos rouges    bemba
caoutchouc    ndama
caoutchoucs    bendama
lézard    nchiè
lézards    benchiè
panthère    nze
panthères    benze
porc-épic    ngôm
porc-épics    bengôm
caïman    ngan
caïmans    bengan
cerveau    bo’o
herbe à scie    fafôle
animal    tsít
cerveaux    bebo’o
herbes à scie    befafôle
animaux    betíst
homme    fam
hommes    befam
plaie    fôô
plaie    fôl
plaies    mefôô
plaies    mefôl
rat    fô
rats    befô
éléphant    zokh
éléphants    bezokh
fourmi guerrière    sighe
fourmis guerrières    bessighe
tente    mba
tentes    mimba
pétrin    mbekh
mortier    mbekh
pétrins    mimbekh
mortiers    mimbekh
cadavre    mbîm
cadavres    mimbîm
porte    mbégn
portes    mimbégn
grand village    nfakh
grands villages    minfakh
poil    nvor
poils    minvor
vallée    ndokh
vallées    mindokh
famille    ndzang
familles    mindzang
liane    ndzikh
lianes    mindzikh
tronc d’arbre    nkokh
troncs d'arbre    minkokh
gâté    mbîrane
gâtés    mimbîrane
mélangé    mbunane
mélangés    mimbunane
langue    nkobe
langues    minkobe
palabre    ntiè
palabres    mintiè
caché    nsolâne
cachés    minsolane
courbé    nvîrane
courbés    minvîrane
noirci    nvînane
noircis    minvînane
lavé    nsoâne
lavés    minsoâne
mort    nwuâne
morts    minwuâne
gémissement    mbighe
gémissements    mimbighe
action    mboâne
actions    mimboâne
éclair de foudre    nverghe
éclairs de foudre    minverghe
tonnerre    ndumegh
tonnerres    mindumegh
neuf    nfefègn
neufs    minfefègn
homme blessé    nfefeng
hommes blessés    minfefeng
malade    nkôkon
malades    minkôkon
lépreux    nzezam
lépreux    minzezam
maboule    ndzimendzime
maboules    mindzimendzime
talentueux    nkenkeng
talentueux    minkenkeng
mensonge    minal
mensonges    minâ
l'eau    mendzím
eaux    mendzím
bave    milen
argent    miang
toucan    myam
os long et mince    myar
jour    môsse
jours    môsse
plante grasse    miane
châtré    myakh
frayeur    mifôgbâne
épouvante    miligbâne
douleur    mintègn
sortie en forêt    miyeng
fétiche d’épreuve    minkaâ
vieillard    nnôm
ligne    nlong
savane    nlong
lignes    minlong
intestin    nya
intestins    miya
hameçon    nyop
hameçon    miyop
clair de lune    myel
miel    yüign
bois mort    lü
beau-frère    mmyale
beaux-frères    bemyale
beau-père    minki
beaux-pères    beminki
copain    müi
ami    müi
copains    bemüi
amis    bemüi
fardeau    nveghe
fardeaux    menveghe
bon    nvègn
beau    nvègn
bons    menvègn
beaux    menvègn
massue    nvîba
massue    menvîba
maison    nda
maisons    menda
obstacle    ndumle
obstacles    mendumle
foudre    nzàláng
tonnerre    nzàláng
foudres    menzàláng
tonnerres    menzàláng
chemin    nzen
chemins    menzen
bruit    nzôgh
bruits    menzôgh
queue    ngüiem
queues    mengüiem
soir    ngôgh
soirs    mengôgh
promesse    ngakh
promesses    mengakh
rasoir    ngheng
rasoirs    mengheng
corps mengnôl    gnôl
voix meking    king
machette    fa
machette    mefa
tombe    song
tombes    messong
débroussement    tsii
débroussements    metsii
graine    sam
graines    messam
naissance    abyale
naissances    mebyale
chasse-mouches    apwâ
chasses-mouches    mepwâ
corps de garde    abâ
corps de garde    mebâ
piège    alam
pièges    melam
pensée    assimane
pensées    messimane
nœud    atsìng
nœuds    metsìng
repos    awéghane
repos    mewéghane
parole    adzô
paroles    medzô
forêt    afane
forêts    mefane
sève d’arbre    mekemle
urine    megnôrôgô
l'alcool    meyokh
l'eau    mendzim
foi    mebun
confiance    mebun
tromperie    medugh
adultère    medzüane
sang    mekî
bénédiction    metégn
salive    mendene
sperme    meyôm
lait    mengnang
village    dzàl
village    màl
tribu de la mère    dzanyang
tribus de la mère    manyang
piquant    dzas
piquants    mas
chose    dzam
choses    mam
famille de la fille    dzang
familles de la fille    mang
confluent    dzigha
confluents    migha
larme    dzighe
larmes    mighe
chaleur    ay’ông
clan    ayòng
froid    avuègn
fraîcheur    avep
débilité    atekh
paresse    atekh
faible    atekh
paresse    éless
paresseux    éless
besoin    achègn
mort    awú
prétention    ambgwekh
dureté    alett
guérir    àlett
égoïste    akügn
égoïste    akü
avare    akakh
lourdeur    adzitt
colère    ayâ
vitesse    avôô
audace    ayókh
amertume    ayô
merci    abòra
merci    akiba
nuit    alú
hier    anghogh
hier    onghogh
demain    akírí
demain    òkírí
milieu du jour    amosse
milieu du jour    omosse
pistes    mezen
chemins    mezen
abcès    dzoat
des abcès    moat
guêpe    élülüign
guêpes    bimümüign
relique    éyeng
reliques    biyeng
place    étégn
places    bitégn
lieux    bitégn
plantation    éfakh
plantations    bifakh
fontaine    étam
fontaines    bitam
côté    éfa
côtés    bifa
pleur    ébî
pleurs    bibî
gîte    ébông
gîtes    bibông
travail    essègn
travaux    bissègn
fornication    ébon
fornication    éboane
fornications    bibon
fornications    biboane
variété de liane    ébom
variétes de liane    bibom
joie    bimenglane
vue faible    bilôlong
serment    bindàng
maladie    bissi
imitation    bissia
doute    bissô
souci    bivekh
soucis    bidzà
nourriture    bidzí
amusements    bivüìgn
reproche    bidzô
chant    dzà
chants    byà
corbeille    dzat
corbeilles    byat
village    dza
village    dzal
villages    ma
villages    mal
ongle    dzègn
griffe    dzègn
ongles    byègn
griffes    byègn
objet    dzôm
objets    môm
âge    dzông
articulation    dzông
chenille    dzông
chenilles    byông
maladie    ôkon
maladies    akon
oiseau    ônon
oiseaux    anon
petite chose    ôyôm
petites choses    ayôm
doigt    ônu
doigts    anu
étoile    ôtétégn
étoiles    atétégn
tourterelle    ôdú
tourterelles    adú
dos    ôdukh
des dos    adukh
feuille    ôkègn
les feuilles    akègn
épervier    ôbî
les éperviers    abî
pigeon vert    ôbeng
les pigeons verts    abeng
honte    ôsson
colère    ôlun
paresse    ônder
disette    ônzang
louange    ôlugú
bois de chauffage    vi
bois de chauffage    lü
champignon    vyo
champignons    lo
argile du potier    vyok
argiles du potier    lok
chevrotin aquatique    vyong
chevrotins aquatiques    long
plaisanterie    lüègn
plaisanteries    müègn
tribu de la mère    dzanyang
tribu de la mère    manyang
piquant    dzas
piquants    mas
chose    dzam
choses    mam
trompe d’éléphant    bîa
trompes d'éléphant    mebîa
cervelle    bo
cervelles    mo
pirogue    byal
pirogues    mal
crâne d'ancêtre    byer
crâne    bieri
fétiche    byer
fétiche    bieri
pauvreté    byo
bête invisible dont on entend le faible cri au loin    vîling
endroit    vôm
un même endroit    vôm mbo
deux endroits    mevôm mebègn
gourmandise    vyakh
gourmand    vyakh
soleil    viane
soleil    vyè
terre glaise    vyekh
main    wo
bras    wo
mains    mmo
bras    mmo
peur    wòng
miel    yüi
petite case    ôndenda
petites cases    andenda
petit noir    ônsussút
petits noirs    ansussút
petit enfant    ômômong
petits enfants    abôbong
petit fang    ôfefang
petits fang    afefang
petit enfant    ômômoan
petits enfants    abôboan
petit homme    ômômot
petits hommes    abôbot
petit animal    ôtsitsít
petits animaux    atsitsít
jeune garçon    ôfefam
jeunes garçons    afefam
petite vipère    ôfefégn
petites vipères    afefégn
petit rat    ôfôfô
petits rats    afôfô
petit poisson    ôkôkosse
petits poissons    akôkôsse
petite poule    ôkukú
petites poules    akukú
petit morceau de viande    ôfufusse
petits morceaux de viande    afufusse
petit chien    ônvunvú
petits chiens    anvunvú
petit oiseau    ônônon
petit riche    ôkukúma
petit arbre    ôlelé
petite perdrix    ôpwepwal
petite question    ônsinsili
petite histoire    ônlenláng
petits oiseaux    anônon
petits riches    akukúma
petits arbres    alelé
petites perdrix    apwepwal
petites questions    ansinsili
petites histoires    anleláng
petite sœur    ôkekal
petit crabe    ôkekara
petite feuille    ôkekègn
petit piège    ôlelam
petit piment    ôkekam
petit fusil    ôzezala
petites sœurs    akekal
petites crabes    akekara
petites feuilles    akekègn
petits pièges    alelam
petits piments    akekam
petits fusils    azezala
petit chemin    ônzenzen
petits chemins    anzenzen
petit silure    ôngôngol
petits silures    angôngol
petit frère    ôndôndôm
petits frères    andôndom
petit boa    ônvônvom
petits boas    anvônvom
petit tournant    ôkekàng
petit couteau    ôkekeng
petit talentueux    ôkekeng
petit péché    ônsensem
petit blanc    ôntentangane
petite oreille    ôlôlo
petits tournants    akekàng
petits couteaux    akekeng
petits talentueux    akekeng
petits péchés    ansensem
petits blancs    antentangane
petites oreilles    alôlo
petit village    ôdzedzal
petits villages    amemal
petite chose    ôdzedzam
petites choses    amemam
petit œil    ôdzidzisse
petits yeux    amimisse
petite chose    ôdzôdzôm
petites choses    abibiôm
petit nez    ôdzüdzügn
petits nez    adzüdzügn
bruine    ônvenveng
bruines    anvenveng
petit tambour    ôngôngom
petits tambours    angôngom
petite chaussure    ôngôngôp
petites chaussures    angôngôp
petite plage    ômemáng
petites plages    amemáng
l'huile    mbwane
l’huile de palme    mbone melen
jeune homme    étong mot
trompe d’éléphant    ongol zok
voiture blanche    nfum metua
poule blanche    éfua kúp
femme brune    évele minenga
homme noir    nsut mot
durée de la vie    nté éning
coup de tonnerre    ndum nzàláng
oiseau des marais    ônon nzam
peau de bœuf    ékô égnakh
assiette de fer    essua ékègn
morceau de pagne    abong étô
ventre de la femme    abum minenga
deux crochets    àkop abègn
corps de Jésus    égnol Yésus
village du père    édzal tare
fil de canne à pêche    nkol nnop
enfants de Dieu    é boan Nzame
hommes pécheurs    é bot minsem
voitures des étrangers    be metua beyeng
garçon    mong a fam
menteur    mot a minâ
mauvais travailleur    mbéa nyègn
homme juste    sôssô a mot
homme crocodile    ngane é mot
riche homme    gneng-gneng a mot
nouveau tombeau    nfefègn o song
veuve    nkús o minenga
famille    nda é bot
homme vulgaire    zeze a mot
homme influent    bikeghe a mot
bénédiction de Dieu    abora Nzame
feuillage de l’arbre    akègn élé
fils de vipère    bo be fègn
enfants du village    bong be dzâ
pieds des Hommes    mebo me bot
oreilles du porc    melo me ngüign
filles de l’ami    be ngone be nvüign
oeufs de poules    meki me kú
membres du corps    bikila bi gnû
paroles de gosses    medzô me bong
paroles de femmes    medzô me binenga
jeux de l’enfant    bivüign mong
omoplates    mebane mot
épaules    mebane
médicaments de la femme    mebiang minenga
vêtements de Medang    bitô Medang
animaux domestiques de Mefumane    biyem Mefumane
portes des cases    mimbégn mi nda
cabris du père    bekabane tare
histoires des Ancêtres    minlang be tsira
quatre villages    mâ me nii
promesse de Dieu    é magha Nzame
hommes pécheurs    é bot minsem
objets des amis    é biom mengom
mes affaires    é mam mam
enfants des beaux-parents    boan b’abègn
œufs de l’oiseau    mekî m’ônon
eau de la fontaine    mendzim m’étam
palissades de la plantation    minkagle mi éfakh
coutumes de la polygamie    mefulu m’éval
la dot    bikiègn bi alukh
vin de palme    meyokh m’alene
histoires de ce monde    minlang mi si
vieilles femmes    miyôm mi binenga
dents des enfants    mess’ông me bong
coutumes des hommes    biyem bi bot
morceaux de bois incandescents    bissikh bi nduane
tout le temps    biyòng bisse
tous les ans    mimbú misse
tous les jours    melú messe
hommes du village    bot be ya dzâ
travaux de la brousse    bissègn bi y’afane
chemin du ciel    nzen ya édzô
royaume du ciel    akúma ya édzô
histoires du peuple Fang    minlang mi y’ayòng Fang
vie éternelle    éning ya mbèmbèè
signes de ces derniers jours    mendem me ya melú ma
grand    nen
petit    ntokh
mauvais    abé
tout    asse
bon    nvègn
tout    esse
quel ?    vé ?
lequel ?    mbé
un    mbo
étranger    nneng
animal    tsít
poitrine    nkùkh
thorax    nkùkh
maison    nda
peuple    ayòng
arbre    élé
oiseau    ônon
un    fo
une    fo
mauvais caractère    éto abé
cœur triste    nnem abé
cœur ingrat    abé nnem
cœur méchant    abé nnem
homme généreux    mot a nvam
bon enfant    moan a nvègn
complètement blanc    na-fúm
complètement paisible    na-lona
complètement calme    na-lona
complètement vide    na-beglé
complètement asséché    na-beglé
complètement calme    na-mieng
complètement silencieux    na-mieng
complètement calme    na-burukh
complètement silencieux    na-burukh
complètement vide    na-dzáng
complètement absent    na-dzáng
complètement débroussaillé    na-geng
complètement nettoyé    na-geng
casser avec brutalité    na kpwess
retirer avec brutalité    na-wôlôte
complètement saturé    na-gnàng
plein de monde    na-gnàng
complètement propre    na-geng geng
nettoyé    na-geng geng
exécuter    na-piáte
tuer    na-piáte
détruire sans remords    na-piáte
consommer sans modération    na-kelett
déposer avec désinvolture    na-vôô
complètement disparu    na-biuu
complètement sage    na-lep
désarmé    na-lep
à bout des forces    na-lep
piétiner avec force et brutalité    na-tsôsse
complètement ouvert    na-volôm
verser un liquide avec brutalité    na-wôô
frapper avec violence    na-kôô
complètement ouvert    na-yoââ
trou béant    na-yoââ
complètement devant    na-yilit
avec douceur    na-yilit
complètement serré    na-bém
complètement haut    na-kàdàng
d’un seul bon    na-kàdàng
complètement enflé    na-kùdúm
gonflé    na-kùdúm
complètement brisé    na-kess
complètement coupé    na-bess
retirer    na-vép
frapper avec force    na-vép
avec force    na-wôkh
complètement plein    na-lut
rempli    na-lut
bondé    na-lut
complètement plein    na-biett
rempli    na-biett
blindé    na-biett
disparaître rapidement    na-viang
sans la moindre trace    na-viong
absolument froid    na-tabakh
complètement mouillé    na-tabakh
manière de tomber brusquement    na-vup
manière de tomber    na-vulut
archi plein    na-vong
de fond en comble    na-vong
complètement noir    na-sut
complètement sombre    na-viu
complètement rouge    na-z’ông
complètement fort    na-seng
complètement épuisé    na-ndeng
complètement mouillé    na-piôte
déchirer avec brutalité    na-wéép
percer    na-kpwép
exploser avec brutalité    na-kpwép
complètement foutu    na-bôlôlô
gâté    na-bôlôlô
détruit    na-bôlôlô
de façon désordonnée    na-ngbwalane
belle figure    mbeng assu
homme noir    nsut mot
homme blanc    ntangane mot
voiture blanche    éfumle metua
jeune fille    étong minenga
vilain homme    mbéa fam
eau amère    mendzim m’ayôl
plante médicale    élokh biang
bête tachetée    tsít meton
bel homme    mbeba mot
beau garçon    ndomane mong
vieux malin    nnôm nkel
femme courageuse    ngângâ minenga
palabre extraordinaire    ébibign adzô
mâle    nnôm
coq    nnôm kú
femelle    ngál
poule    ngál kú
droit    meyôm
gauche    meyâ
côté droit    wo meyôm
côté gauche    wo meyâ
petite cuillere    moan tokh
petite clé    moan essap
petit arbre    moan élé
petite maison    moan nda
palabre sérieux    gna-dzam
affaire sérieuse    gna-étom
vrai amour    gna-édzing
paalabres sérieux    be gna-mam
affaires sérieuses    be gna-bitom
vrais amours    be gna-bidzing
vrai fils    gna-moan
vraie voiture    gna-metua
sérieux pugilat    gna-ébôme
vraie douleur    gna-mintègn
authentique Obame    gna-Obame
bonne eau    be gna-mendzim
vrai homme    nfang-mot
vraie femme    nfang-minenga
vraies femmes    minfang mi binenga
vrai mot    nfang-éfia
vrais mots    minfang bifia
vraie maison    nfang-nda
vraies maisons    minfang-menda
vraie route    nfang-ndzong
vraies routes    minfang-mindzong
vrai fang    nsùm moan fang
de vrais fang    minsùm be Fang
vrai chef    nsùm sifú
vrais chefs    minsùm be sifú
vrai frère    nsùm monegnang
vrais frères    minsùm bobegnang
vrai problème    nsùm adzô
paresse    ondet
paresseux    ndendet
des paresseux    mindendet
colère    olun
coléreux    nlulun
des coléreux    minlulun
talent    akeng
talentueux    nkekeng
talentueux    minkekeng
honte    osson
honteux    nsoson
gourmandise    viakh
avarice    akü
richesse    akúm
maladresse    assukh
maladie    okon
vol    wup
bouteilles remplies    minyomane midzèang
chemin débroussé    nzen nliane
lumière éteinte    élam ndzimane
oreilles bouchées    melo mindzibane
porte fermée    mbègn nferane
Église ouverte    essulane nyüane
École remplie    sikolo ndzalane
parler    akobe
parole    nkobe
même langue    nkobe mbo
deux paroles    minkobe mibègn
belle parole    mbeba nkobe
femmes cuisinières    é binenga bayam
femme bavarde    é minenga akokobe
être malade    awokh gnû abé
être content    awokh nvègn
avoir froid    awokh avep
être mécontent    ayén abé
être en colère    awokh abé
être souffrant    awokh mintègn
avoir mal    awokh mintègn
rendre blanc    afumle
devenir noir    avín
être malade    akon
être clair    anghengbe
de nombreuses femmes    binenga abüign
le côté opposé    nkàkh ayàt
la rive opposée    ochign ayàt
Dieu tout-puissant    Nzame ane ne ki essesse
arbres épineux    bilé bine biyo
le village éloigné    édzal éne oyáp
il est présent    ane été
c’est vrai    éne été
c’est exact    éne été
il est absent    asse dia été
ce n’est pas vrai    esse dia été
ma peau    ékôp dzam
mes peaux    bikôp biam
mon oiseau    ônon wom
mes oiseaux    anôn dam
ma langue    nkobe wom
mes langues    minkobe miam
ma panthère    nze dzam
mes panthères    be nze bam
ma cartouche    akòng dam
mes cartouches    mekòng mam
mon village    dzal dam
mes villages    mal mam
mon bagage    mbeghe wom
mes bagages    mimbeghe miam
ma nourriture    bidzí biam
ta peau    ékôp dzüa
tes peaux    bikôp büa
ton oiseau    ônon yüa
tes oiseaux    anôn düa
ta langue    nkobe yüa
tes langues    minkobe müa
ta panthère    nze dzüa
tes panthères    be nze büa
ta cartouche    akòng düa
tes cartouches    mekòng müa
ton village    dzal düa
tes villages    mal müa
ton bagage    mbeghe yüa
tes bagages    mimbeghe müa
ta nourriture    bidzí büa
ses    miégn
sa peau    ékôp dzégn
ses peaux    bikôp biégn
son oiseau    ônon wégn
ses oiseaux    anôn dégn
sa panthère    nze dzégn
ses panthères    be nze bégn
sa langue    nkobe wégn
ses cartouches    mekòng mégn
ses langues    minkobe miégn
sa cartouche    akòng dégn
son village    dzal dégn
ses villages    mal mégn
son bagage    mbeghe wégn
ses bagages    mimbeghe miégn
notre peau    ékôp dzâ
nos peaux    bikôp biâ
notre oiseau    ônon wâ
nos oiseaux    anôn dâ
notre langue    nkobe wâ
nos langues    minkobe miâ
notre panthère    nze dzâ
nos panthères    be nze bâ
notre cartouche    akòng dâ
nos cartouches    mekòng mâ
notre village    dzal dâ
nos villages    mal mâ
notre bagage    mbeghe wâ
tes bagages    mimbeghe miâ
notre nourriture    bidzí biâ
votre    minane
vos    minane
votre    menane
vos    menane
votre peau    ékôp dzenane
vos peaux    bikôp binane
votre oiseau    ônon wenane
vos oiseaux    anôn denane
votre langue    nkobe wenane
vos langues    minkobe minane
votre panthère    nze dzenane
vos panthères    be nze benane
votre cartouche    akòng denane
vos cartouches    mekòng menane
votre village    dzal denane
vos villages    mal menane
votre bagage    mbeghe wenane
vos bagages    mimbeghe minane
votre nourriture    bidzí binane
leur    doa
leur    dzoa
leur    woa
leurs    boa
leurs    bio
leurs    moi
leur peau    ékôp dzôa
leurs peaux    bikôp bio
leur oiseau    ônon woa
leurs oiseaux    anôn dôa
leur langue    nkobe wôa
leurs langues    minkobe mio
leur panthère    nze dzôa
leurs panthères    be nze bôa
leur cartouche    akòng dôa
leur village    dzal dôa
leurs villages    mal môa
leur bagage    mbeghe yôa
leurs bagages    mimbeghe mio
leur nourriture    bidzí bio
leur nourriture    bidzí bio
leurs nourriture    bidzí bioba
Les clefs sont à moi où ?    Essap éne me vé ?
Où sont mes clefs ?    Essap dzam éne vé ?
l'enfant leur est dehors.    Moan ane bo atane
leur enfant est dehors.    É moan woa ane atane
je ne le connais pas le nom    Maâyem dia gne dzü
je ne connais pas son nom.    Maâyem dia édzü dégn
la voiture toi est restée en ville    Metua alighe we a kissone
ta voiture est restée en ville    Metua wüya alighe a kissone
tout ce qui est à moi est à toi, tout ce qui est à toi est à moi.    émam mam messe mene émüa ; émüa fe mene émam
mes deux vêtements    biwomane biam bine bi bègn
voici mes enfants…    É boan bam ba…
ce sifflet ne siffle pas à cause de moi mais à cause de vous.    élong dzi dzalong dia akal dam nghe ve akal denane
mon enfant    moan wom
ma sœur    kâ dzam
ma barrière    nkagle wom
ma maison    nda dzam
ma tribu    ayòng dam
ma statuette    éyema dzam
mon oiseau    ônon wom
bam    mes
büa    tes
boa    leurs
mes enfants    boan bam
mes sœurs    bekâ bam
mes barrières    minkagle miam
mes maisons    menda mam
mes tribus    meyòng mam
mes statuettes    biyema biam
mes oiseaux    anon dam
cet enfant-ci    moan gnina
cet enfant-là    moan gnilé
ce livre-ci    kalara gnina
ce livre-là    kalara gnilé
cette corde-ci    nkol wina
cette corde-là    nkol wilé
cette maison-ci    nda gnina
cette maison-là    nda gnilé
cette pierre-ci    akokh dina
cette pierre-là    akokh dilé
ce toilette-ci    édukh dzina
ce toilette-là    édukh dzilé
cet oiseau-ci    ônon wina
cet oiseau-là    ônon wilé
ces enfants-ci    boan bana
ces enfants-là    boan balé
ces livres-ci    bekalara bana
ces livres-là    bekalara balé
ces cordes-ci    minkol mina
ces cordes-là    minkol milé
ces maisons-ci    menda mana
ces maisons-là    menda malé
ces pierres-ci    mekokh mana
ces pierres-là    mekokh malé
ces toilettes-ci    bidukh bina
ces toilettes-là    bidukh bilé
ces oiseaux-ci    anon dina
ces oiseaux-là    anon dilé
cet enfant    é mot gni
ces hommes    é bot bale
à cet endroit    é vôm wi
à cet endroit-ci    é vôm wina
cette affaire    é dzam di
cette nuit    alú di
tout à l’heure    éto dzi
cette heure    awala di
à cette heure-ci    awala dina
cet homme    mot éte
ces choses    mam mete
cette nuit-là    alú éte
ces palabres    medzô mete
ces histoires    minlang mite
cette route    ndzong ote
ce pigeon    obeng ote
cette assiette    essua éte
ce lit    énong di
ces mots    bifia bi
ces cheveux    bissi bi
ces pieds    mebo ma
cette maladie    ôkon wi
cette voiture    metua gni
ce visage    assu di
ce vélo    missini gni
ces pièces d'argent    minsang mi
ces yeux    misse ma
cet enfant    moan gni
cette sœur    kâ gni
cette barrière    nkagle wi
cette maison    nda gni
cette tribu    ayòng di
cette statuette    éyema dzi
cet oiseau    ônon wi
ces enfants    boan bete
ces sœurs    bekâ bete
ces barrières    minkagle mite
ces maisons    menda mete
ces tribus    meyòng mete
ces statuettes    biyema bite
ces oiseaux    anon éte
