simby'om̂wèï    retenir son souffle
dyufom̂wèï    respirer difficilement
sul'om̂wèï    expirer
bangwana n'om̂wèï    rendre le dernier soupir
suliz'oma om̂wèï    ôter la vie à quelqu'un
dyóng'om̂wèmbó    prendre un bouillon
duwya ogum̂a ntȼó mpèmba g'om̂wèmbó    tremper du manioc ou du pain dans la sauce
om̂wèmbó w'atapi    la sauce est épaisse
om̂wèmbó    sauce
om̂wèmbó    bouillon
om̂wenge    beaucoup
om̂wèwó     un peu
okóndó om̂wèwó    un peu de coton
ogóï wó abya okuwa om̂wèwó    ton beaufrère est arrivé très amaigri
mi dyen'ó okuwa om̂wèwó    je te trouve bien grêle
mi kambe fala om̂w'ezóm̂a    je parle un peu le français
w'apa myè tako om̂w'ezóm̂a    ils m'ont donné du tabac en petite quantité
om̂wa w'iga    l'écho résonne
om̂w'inóngó    homme ou femme de l'intérieur
o kènda g'om̂w'inóngó    tu as la démarche d'un homme de l'intérieur
om̂w'ezóm̂a    en petite quantité
om̂w'întȼó    prunelle de l'œil
awo-ngwè wam̂i!    mes frères!
om̂wo-ṉanga ayuwe g'agèï    un marin ne meurt pas dans l'eau douce
om̂wo-ngwè    sœur ou frère utérin
om̂w'onom̂e    enfant mâle
om̂w'onom̂e    fils
om̂w'onom̂e    un garçon
om̂w'onom̂e    un jeune homme
om̂wo-ntȼe    homme libre
om̂wo-ntȼe    autochtone
om̂w'orumbe    jeune
om̂w'orumbe    peu avancé en âge
om̂w'om̂wanto    enfant du sexe féminin
om̂w'om̂wanto    jeune femme
om̂wan'om̂wanto    fille
om̂w'om̂wanto    une fille
om̂w'erere    un petit arbre
om̂w'egara    une petite malle
om̂wo-mbute    une petite bouteille
om̂w'ezanga    un peu de sel
om̂w'oresi    un peu de riz
om̂wo-mbwa    un jeune chien
awo-ndjógóni    de petits poussins
awo-mbwa    de jeunes chiens
om̂wontȼeri agalwe om̂wondjógu    une jeune gazelle ne deviendra jamais un jeune éléphant
oga om̂wóna    le nouveau roi
anaga awóna    de nouveaux arrivés
ompum̂a om̂wóna    le nouvel an
evuginya z'om̂w'onaga    le genre humain
evuginya z'om̂w'onaga    la race humaine
ntȼale mèyónó yi re n'om̂w'onagyedu    cette coutume est commune à tout le monde
om̂wo-ng'iyam̂i onom̂e    mon frère
om̂wo-ng'iyam̂i onèró    mon grand frère
om̂wo-ng'iyam̂i orumbe    mon petit frère
awànom̂e    des garçons
awànom̂e    des jeunes gens
azwèdu awo-ntȼe arevo    nous sommes tous des hommes libres
o pare om̂w'orumbe    tu es encore jeune
dyógó ona    avoir mal aux reins
pizin'otumba g'ona    nouer une ceinture autour des reins
pizin'otumba g'ona    porter une ceinture autour des reins
pizin'otumba g'ona    attacher sa ceinture autour des reins
onaga winó    cet individu
onag'ombe    un triste sire
onag'iwam̂i    mon esclave
tum̂a nkèm̂a    tuer un singe avec une flèche empoisonnée
onamb'ombya    un beau tissu
onamb'ombya    un joli pagne
om̂w'onamba    un petit pagne
erèndè z'onamba    bout d'étoffe
erèndè z'onamba    bandelette
onamb'orum̂e    pagne à deux lets
onamba w'okorwè    un pagne bordé
onambo-tavuru    une nappe de table
onamba w'evila    pagne noir
onamba w'okóndó    veloutine
onamba wi banda wani    pagne à double face
onamba w'igóndjó    pagne bleu à points
pang'onamba    arranger son pagne
sony'onamba    baisser son pagne
diry'onamba g'ompele    attacher son pagne au cou
pizin'onamba g'ona    attacher son pagne à la ceinture
fin'onamba    porter un pagne
datiz'onamba    assembler les deux lets d'un pagne
onambano    douzaine
onambano    une douzaine d'assiettes
onambe    fétiche de guerre et fétiche pour chasser le gros gibier
sèn'onambe w'indjógu    faire le fétiche pour la chasse aux éléphants
ntȼe yinó yi re onandala ombya    ce terrain est très uni
orowa wodu w'akalwi onangampaza    le ciel est tout rouge
ombwiri w'aṉeni onangè    l'esprit a mangé la nourriture qu'on lui a servi
eliwa z'onangè    le plus grand lac du bas-ogowè
onaga    homme
onamba    etoffe
onamba    tissu
onandala    endroit plat
onandala    plateau
onanisi    fornicateur
ondanda    constipation
pando n'ondanda    avoir le ventre ballonné
ondanga    poisson intermédiaire entre les raies et les squales
mi pare n'ondjele-ndjele, vengina kwè    je suis trop occupé pour le moment, attends un instant
ondjelendjele w'itora    le tracas d'un déménagement
ondjele-ndjele    occupation
ondjele-ndjele    tracas
ondjombo    espiègle
ondonga    rétribution accordée aux juges
nunga ondonga    réclamer une rétribution
pa ondonga    payer une rétribution
ondum̂a    corde de guitare
indum̂a yi ńómbi    les cordes de la guitare
onè    unité en plus
my'akola igom̂i ṉ'akóndó n'onè    j'ai acheté une dizaine de régimes de bananes, et un ou deux en plus
ntango yi re onè    le nombre est impair
om'onège    une personne leste
onègira    tige de fer fétiche
onègiri    quémandeur
onèmbè    du miel
onèmbè    miel
onèmbè wa pupu    du miel vierge
onèmbè wa pupu    miel blanc
o re ogwana w'onèmbè    tu dis des paroles mielleuses
onèm̂è    langue parlée
onèmè w'atweni ni nanga    la langue est chargée
otanganî winó apuri onèm̂è wazo mbyambye    cet européen connaît notre langue à la perfection
onèm̂è    flamme
inèm̂è y'ogoni    des flammes
onèm̂isi    celui qui sarcle
onèm̂è-wi-ndjègó    solanée
onèndji    professeur
onèngè    mire
onèngè    cran de mire
onèngè    habileté
o re n'onèngè    tu tires bien
onèngè    savoir-faire
erumbe zó amye onèngè wi denda n'osam̂u    ton jeune frère ne sait pas s'y prendre
onèrè    névralgie
onèrè    panier en lianes ou en feuilles de palmier
nog'onèrè    faire une moufette
twan'inèrè yi ndambo    porter des charges de caoutchouc
onèró    vieux
onèró    qui est avancé en âge
onèró w'adyingin'è g'okuwa    il prend de l'âge
onèró w'adyingin'è g'okuwa    il se fait vieux
kènd'ogèndó w'anèró    aller à la selle
dyógó nkani y'anèró    avoir une maladie vénérienne
anèró wi nkala    les anciens du village
intȼale s'anèró    les coutumes des ancêtres
onèr'wam̂i    mon aîné
onèró-awangwe    jeune de caractère
ongîli    plomb
ongîli    cendrée
egoro z'ongili    une cartouche à plomb
ongindambè    pirouette
ongindambè    subterfuge
ongolo    taon des éléphants
ntȼini y'ongolo    case ou cloison construite uniquement en feuilles de raphia
ongolo    boule de poudre de bois rouge
pîngwinyongolo w'indyógu    encercler des éléphants
kwèr'ongondja    faire des incisions contre les maléfices
