ibam̂i    dignité
talwa g'idyandja    quitter le travail
dubwa g'idyandja    abandonner un emploi
idyana    enfantement
idyana si nkaza    un enfantement douloureux
idyano    parenté
mpongwè wi mya idyano    les mpongouès attachent une grande importance à la parenté
wi re idyano sipolo    ils sont proches parents
idyavura    légèreté
idyavura    agilité
idyavura    souplesse
idyavure    léger
owavi wino wi re idyavura    cette feuille ne pèse guère
idyega    avances
idyega    paiement anticipé
my'are yè pa-pa sidyega    je lui ai fait des avances
finiz'idyega    rembourser des avances
idyegerya    chauffage
idyègèrya    trépidation
idyela    nécessité
idyela    besoin
idyela    embarras
miṉa ayakwè n'idyela    je mange des feuilles de manioc en épinards par nécessité
móngi wi re g'ogoni w'adyeli    les damnés sont perdus pour toujours
idyèlo    rides profondes
tata atweni n'idyèló    papa a le visage tout ridé
idyena    action de voir
idyena    voir
idyena    clair
idyena    limpide
aningo mi re idyena    les eaux sont claires
intȼozo s'atanga s'asizo myè si re idyena    les souliers que j'ai cirés sont luisants
idyilangana    noirceur
idyilangana    noir
idyilangana    sombre
aningo m'ivindè mi re idyilangana    les eaux de l'ivindo sont noires
ozo idyilangana ga mpir'atanga    le visage noir comme du suif
idyivira    croyance
idyivira    foi
idyivira s'agamba m'aṉambyè    la foi aux vérités révélées
ikambina s'idyivira    l'acte de foi
idyóga    natation
nèng'idyóga    apprendre à nager
idyógino    obéissance
idyógino    soumission
idyógó    maladie
idyógó s'atig'è tô    il va mieux
poswa n'idyógó    tomber malade
idyógó-yógó    infirmités
idyóla    résistant
idyóla    énergique
idyóla    difficile
idyóla    pingre
ado m'ampovya mi re idyóla    les pierres des rapides sont dures
erere zi mbimo zi re idyóla    le bois du mbimo est dur
aningo m'olomb'ogowè mi re idyóla    le courant du haut-ogowè est dur à remonter
fala yi re idyóla go kamba    la langue française est difficile à parler
idyóle    résistant
ipambo idyóle sinó    ces écorces dures
idyomba    mariage
idyomba    reations conjugales
bel'om̂wanto sidyomba    demander une femme en mariage
belo n'onom̂e sidyomba    être demandée en mariage
teniz'idyomba    conclure un mariage
tomb'om̂wanto g'idyomba    répudier une femme
idyomb'iṉami    mon beau-frère
