nundjakan'intango    régler des comptes
nundjakan'intango    faire des calculs
ntango    chiffre
ntango    compte
ntango    calcul
tombe ntango    soustraire
buniz'intango    multiplier
kere ntango    diviser
móngi w'atwana arwano w'abye ntango sè ?    combien est-il arrivé de porteurs?
ezango z'intango    un livre de calcul
ezango z'intango    un registre de comptes
sury'intango mbyambye    posséder bien le calcul
kunde ntango    augmenter le nombre
ntari    témoin
my'abya go ntari    je viens comme témoin
ntari móri ni myè    je suis un des témoins
ntaza    petit gril indigène
ntaza    dents superposés sur plusieurs rangs comme celle du requin
bène ntȼaga    planter
swe ntȼaga    défricher du terrain pour une plantation
swe ntȼaga    couper le sous-bois
peze ntȼaga    brûler un abattis
bène ntȼaga    ensemencer un jardin
sage ntȼaga    bêcher un jardin
ntȼage-menga    variété de ficus dont les pigeons verts mangent les fruits
ntȼago    festin
ntȼago    grand repas
ntȼago    offrande
ntȼago    sacrifice
ntȼago    bien que
ntȼago    sans que
o kènda gogo, ntȼago o veyo n'oma    tu vas là-bas, sans que personne ne t'ait appelé
dyirin'aṉambyè ntȼago    offrir un sacrifice à dieu
oma winó abónga ipa, ntȼago ayandja   cet homme s'est fait payer, bien qu'il n'ait pas travaillé
embyóló-mbyóló avandi etowa    le gui monte en haut
ntȼaï    bout
ntȼaï    sommet
ntȼaï    pointe
ntȼaï    extrémité
ntȼaï    prépuce
ntȼaï    raison
ntȼaï y'erere    la cime
ntȼaï yi nomba    le sommet d'une montagne
ntȼaï y'ogum̂ya    le bout du mât
ntȼaï yi finya ni mpónó    le point terminus de la route
ntȼaï yi swaka    la pointe d'un couteau
ntȼaï yi nenge    la pointe extrême d'une île
ntȼaï y'iguwu    une tête d'ananas
kènda ni ntȼaï y'im̂eno    marcher sur la pointe des pieds
igónga ṉi re ntȼaï twa    la sagaïe à la pointe acérée
pan'ote ntȼaï    tailler en pointe un bout de raphia
ntȼaï y'iwènè    téton
ntȼaï y'iwènè    bout de la mamelle
tombe ntȼaï    circoncire
agamb'imè mi 'myeno ntȼaï ni ntina    on ne sait jamais de quoi il retourne, ce qu'il dit n'a ni queue ni tête
ntȼale    manière
ntȼale    usage
ntȼale    coutume
ntȼale    prendre de bonnes habitudes, de mauvaises habitudes
ntȼale    usage d'une
ntȼale    couleur
ntȼale    dessin
ntȼale    bigarrure
poze ntȼale    abandonner une habitude
song'intȼale s'arigo n'anèró    suivre les coutumes des anciens
onamba mèwónó wi re intȼale simbya    cette étoffe a de beaux dessins
inamba yi fatere yinó yi re ntȼale    les étoffes de cette factorerie ont des dessins variés
ntȼam̂a    muge ou mulet à grosse tête
ntȼambala    fatigue de voyage
ntȼambala    malaise d'acclimatation
koto ni ntȼambala    avoir une acclimatation pénible
koto ni ntȼambala    être encore sous le coup de la fatigue
ntȼambè    à l'écart
ntȼambè    se tenir à l'écart
ntȼambè    nteanga-nendyè
kalun'intȼambi    changer de mœurs
ntȼambi    pas de danse
ntȼambi    cadence
ntȼambi    air de musique
ntȼe-mpongwè yi pa kalwe intȼambi    le pays mpongwè n'a pas changé de mœurs
intȼambi s'oyîno    des mouvements cadencés
ntȼambi yi ńómbi    un air de guitare
ntȼambi yi ńómbi    un air d'accordéon
bole ntȼambi    jouer un air de musique
ntȼandè    deux brasses
ntȼandi    grossesse
ntȼandi    obésité
ntȼandi    embonpoint
ntȼandja    saison des pluies
ntȼandja    hivernage
ntȼandja y'adyufini enom̂o    la saison des pluies a empiété sur la saison sèche
ntȼandji    perche piquée en terre
ntȼandjo    distance
etende zi pare ntȼandjo    le canot est encore loin
ntȼandjo yi re lambaréné ni samba    la distance entre lambaréné et samba
pandye ntȼanga    hisser le drapeau
pandye ntȼanga    arborer un drapeau
sonye ntȼanga    baisser le pavillon
pandye ntȼanga erene    mettre un drapeau en berne
ntȼanga    etendard
ntȼanga    pavillon
ntȼanga    drapeau
ntȼanga-nendyè    sans appui
ntȼanga-nendyè    sans support
dyandj'ewilo zè ntȼanga-nendyè    travailler à l'écart
tigane ntȼanga-nendyè    rester à l'écart
azw'aiuo na wao ntȼanga-nendyè    nous étions à l'écart d'eux
iṉèngó mèṉónó ṉi re ntȼanga-nendyè    ce poteau est sans appui
ntȼangilya    criard
ntȼangilya    éclatant
ntȼangilya    retentissant
tong'orómbó ni ntȼangilya    faire entendre le son retentissant du clairon
ntȼango    nouvelle
ntȼango    annonce
ntȼango mbyambye    ça va bien
ntȼango du vóvó    couci couça
inntȼango sè ?    qu'y a-t-il de nouveau ?
bongun'inntȼango    raconter des nouvelles
erwane-ntȼango    un rapporteur
ntȼango    renommée
ntȼango    célébrité
myeze ntȼango    annoncer une nouvelle
twane ntȼango    porter une nouvelle
rakilya myè intȼango    expose-moi en détail ce que tu sais
yaruna myè intȼango    expose-moi en détail ce que tu sais
ntȼango yè y'adyógano mboredu    sa renommée s'étend dans tout le pays
ntȼani    cinq
ṉóngó yi ntȼani yó yinó    c'est la cinquième fois
ntȼantȼè    en équilibre
ndindo akumani inntȼantȼè    bébé se tient debout tout seul
kumane ntȼantȼè g'ogóli    se tenir en équilibre sur une corde
tige ntȼuga ntȼantȼè g'ewondjo    porter une touque en équilibre sur la tête
kum̂ane ntȼantȼè g'ozira    se tenir en équilibre sur un mur
ntȼaro    trois
belo ntum̂a ntȼaro    on demande trois fourchettes
ntȼava    arbuste buissonneux du rivage
ntȼava    cercle de bois
ntȼava-y'ozègè    convolvulacée du bord de la mer dont on se sert pour sauter à la corde
kil'ingóï ntȼavo    savonner le linge
ntȼavo-ya-rótimbo    arbre dont l'écorce écrasée peut être employée en guise de savon pour laver le linge
ntȼavo    savon
ntȼe    sol
ntȼe    terrain
ntȼe    pays
ntȼe    fond
ntȼe    intérieur
ntȼe    dessous
ntȼe    partie intérieure
my'ayólye pe wè om̂wan'iwam̂i g'idyomba    plutôt l'univers disparaître que de te donner ma fille en mariage! bóngin'oma yóm'iyè go ntȼe, prendre le bien d'autrui sans motif ou sans payer
ntȼe n'orowa    le ciel et la terre
elele zi ntȼe    une contrée
elele zi ntȼe    une région
dimbin'egara go ntȼe    poser une caisse à terre
kendje ntee    administrer un pays
dwan'oma go ntȼe    maudire quelqu'un
bóngin'oma yóm'iyè go ntȼe    prendre le bien d'autrui sans motif ou sans payer
g'orèm̂a-ntȼe    au fond du cœur
go mbene-ntȼe    au fond de la mer
go mbene-ntȼe    au fond d'une rivière
go ntȼe-ntȼe    dans l'arrière pays
go ntȼe-ntȼe    très loin dans l'intérieur
go ntȼe y'egara    sous la caisse
idyavi s'ozigo si re tenatena go nkowa yi ntȼe    les feuilles de l' ozigo (pachylobus buttneri) ont une teinte rousse en dessous
ntȼèga    pavillon de l'oreille
ntȼèga    bassinet d'un fusil à silex
ntȼèga    bruit fait par des manilles en dansant
ntȼèga    poussière de bois vermoulu
ntȼege    clochette en bois dont se servent les sorciers
suge ntȼege    agiter une clochette
ntȼege y'atanga    une crécelle
ntȼègè    mandrill
ntȼègè    zézaiement
ntȼègè    qui est facilement pris par la boisson
rèkadyè are ibóngo si ntȼègè    un tel s'enivre avec peu de boisson
ntȼèï    arbre du bord des eaux douces, dont le tronc principal couché donne naissance à plusieurs troncs dressés : les enfants mangent ses petits fruits côtelés
ntȼèlèlè    termite ou fourmi blanche
ntȼèlèlè    mollusque à coquille triangulaire
ntȼèlèngo    de travers
ntȼèlèngo    qui penche ou descend d'un côté
nago y'atweni ntȼèlèngó    la case penche
bór'onamba ntȼèlèngó    mettre un pagne de travers
aroki mi ngóï mi re ntȼèlèngó    l'habit est boutonné de travers
ntȼèmbó    blâme
ntȼèmbó    reproche
ntȼèmbó    réprimande
igamba ṉi ntȼèmbó    une chose blâmable
ntȼèmbó y'orèm̂a    le remords
ntȼèna    gros poisson de mer et de rivière
ntȼèna    variété de nteèna
ombilo-ntȼèna    un vieux ntȼèna
ompombo wi ntȼèna    un nez régulier
ntȼende    petit écureuil à robe rayée
ntǿende    résolution énergique
fele ntȼende dye g'osam̂u    prendre la ferme résolution de faire une chose
ntȼendebele    petit arbre à fruits comestibles
ntȼendje    courtilière
tonge ntȼendje    donner un coup de sifflet
tonge ntȼendje    siffler avec un instrument
ntȼendje y'owarotutu    un sifflet de bateau à vapeur
ntȼèndó    en biais
ntȼèndó    obliquement
ten'onamba ntȼèndó    découper un pagne en biais
ten'ovambo ntȼèndó    découper un foc en biais
inkengo s'owatanga s'atweni ntȼèndó    les vergues du nayire sont inclinées
intȼó ṉi ntȼèngè    un grain de sable
ntȼèngè yi taline nago    de la terre pour niveler une case
tore gara yi ntȼèngè    transporter des caisses de terre
dyire ntȼèngè go mpono    sabler une route
ntȼèngè y'abokwi    la terre s'est effondrée
ntȼèngè ya kwakwa    un vase fragile
ntȼèngè y'iwono    un vase d'argile
ntȼèngè yi ṉena    un bol
ntȼèngè yi ṉena    un saladier
ntȼèngè y'ogwèra    un vase de nuit
ntȼe-nondè    la terre
móngi wi ntȼenondè    les habitants de la terre
ntȼèrè    bambou grimpant de la lisière ou du sous-bois
ntȼèrè    baguette de fusil
ntȼèrè    moulure
pang'intȼèrè g'intimbe    faire des moulures
ntȼèngè    terre
ntȼèngè    sable
ntȼeri    antilope-naine improprement appelée gazelle
ntȼeri    rhumatisme
n̈tȼèvï    arbuste grimpant qui donne des fruits rouges comestibles, très sucrés
n̈tȼèvï    qui vomit facilement
ntȼèvyè    fruit de l' ozèvyè
ntȼigè    d'autant plus que
ntȼigè    surtout que
ntȼigè    attendu que
ntȼigè    tant il est vrai que
lende yinó wani yi zele ogèndo omo, ntȼigè kè zinó z'adingi    ces deux canots n'ont pas la même vitesse, rien d'étonnant à cela, celui-ci est plsu vieux
ntȼigizigi    petit plan de palétuvier
intȼigizigi s'atanda    de petits palétuviers
ntȼigo    chimpanzé
pande ntȼigo    faire l'autopsie
kor'ita ṉi ntȼigo    se mettre soi-même dans l'embarras
ntȼilo    fétiche protecteur des villages
dowe ntȼilo go nkala    donner un fétiche protecteur à un village
kalwe ntȼilo    devenir casanier
kalwe ntȼilo    ne plus bouger de chez soi
rè-kadyè ntȼilo yi nkala    un tel est un des piliers du village
ntȼimbo    petit coquillage
ntȼimi    gémissement
simin'intȼimi    pousser des gémissements
omo kangana n'obèli, avem̂e intȼim̂i sè    celui qui voyage avec un malade
ntȼina    sang
ntȼina    colère
ntȼina    impatience
ntȼina    chance
ntȼina    veine
ntȼina    descendance
ntȼina    extraction
ntȼina    famille
ntȼina    vin
ntȼina ya kwakwa    un sang vermeil
ntȼina ya nangunangu    un sang noir
ntȼina yi pova    le sang coule
om̂eno wi kógwe ntȼina    mon doigt saigne
ntȼina yi kógwa ṉelelele    le sang jaillit
ntȼina yi kógwa ṉelelele    le sang gicle
simbye ntȼina    arrêter le sang
simbye ntȼina    étancher le sang
tombe ṉam̂a ntȼina    saigner une bête
ntȼina y'anani    le sang s'est coagulé
kandjune ntȼina    fouetter le sang
kandjune ntȼina    ranimer le sang
kandjune ntȼina    remettre en vigueur
iwum̂u ṉi ntȼina    dyarrhée sanguinolente
ntȼina nambe    un boudin
mi bele pando ni ntȼina mbe    je sens monter ma colère
ntȼina y'adyangini    mon sang bouillonne
o re ntȼina mbya    tu as de la chance, tu n'as pas de chance
mbamba yi ntȼina    un petit-fils réel
ntȼina yi rè-dowe yó yinó    voici un descendant de rè-dowé
azw'are ntȼina mo    nous sommes proches parents
azw'are ntȼina ta    nous sommes parents par alliance
ntȼina mbani    sang mêlé
ntȼina mbani    métis
nagane ntȼina    devenir frères de sang
pamba yi ntȼina    une bouteille de vin
ntȼindarèma    consolateur
ntȼindji    petit animal carnassier
ntȼingo    poudre de bois rouge
ntȼigè    surtout que
ntȼigè    attendu que
ntȼigè    tant il est vrai que
ntȼigo    chimpanzé
ntȼilingó    cachalot
ntȼilo    fétiche protecteur des villages
ntȼimbo    petit coquillage
ntȼina    sang
ntȼindji    petit animal carnassier
ntȼindo    petit arbre à bois dur
ntȼini    mouche
ande zónó zi re intȼini batabata ?    quel est cet objet couvert de mouches?
ntȼini yi nom̂a    la mouche pique
ntȼintȼi    qui commence à jaunir
ntȼintȼi    mulâtre
ntȼintȼi    métis
itótó ṉi pare ntȼintȼi    la banane douce commence seulement à jaunir
ntȼire    qui prend parti pour les siens
ntȼire    solidarité
obota wi ntȼire    mère dévouée pour les siens
sire ntȼire y'obota    faire des reproches aux siens par manière d'acquit, par devoir ou à contre-cœur
inóngó mèṉónó ṉi re ntȼire    les gens de ce peuple sont très unis
inóngó mèṉónó ṉi re ntȼire    les gens de ce peuple sont solidaires les uns des autres
va myè ezango zinó ntȼó zónó    donne-moi ou celui-ci ou celui-là
ntȼogo    entraves indigènes que l'on met aux pieds
ntȼogo    bloc de bois muni d'un trou
o re intȼogo simbe    tu es trop taquin
ntȼogo    taquineries
ntȼogo    estomac de poisson
ntȼogo y'ompulungu    prison de navire
oma wi ntȼogo    un prisonnier
fel'oma go ntȼogo    mettre quelqu'un en prison
wi re ntȼogo y'antȼó    ils sont prisonniers sur parole
ntȼogo    bâti ou barres d'un métier artisanal, ou à confectionner des nattes
ntȼogo    premières mailles d'un filet
ntȼógó    tulipier du gabon
ntȼógó    arbre ornemental à grandes fleurs rouges et feuilles très frissonnantes
ntȼóli    oiseau-mouche
ntȼóli    colibri
ntȼóli    claquement de doigts
te ntȼóli    claquer des doigts
ntȼolo    gros marteau de forge
ntȼolo    massue
yaruna ado ni ntȼolo    brise les pierres avec un marteau
nkula móri, móri, yi dyôniz'otondo    les petits profits finissent par enrichir
