efègè    beauté physique
efidi    bouillonnement de l'eau
efu    panse d'un animal
efu    estomac
efu zi ṉare    la panse d'un bœuf
efu    couverture de laine
pugin'efu    se couvrir d'une couverture
savuz'eîu    se couvrir d'une couverture
vug'om̂wana efu    étends une couverture sur l'enfant
efuruwónga    petit papillon
egage    passé
egage    aigri
egam̂a    petit arbre à écorce amère médicinale
egamba-nambyè    bêtises
egamba-nambyè    âneries
o kamba egamba-ṉambyè    tu dis des bêtises
egandjuna zi kandjuno n'agali    une passoire à l'huile
egangina    rôtissoire
egangina    poêle
egangina zi kangine wèrè    une poêle à frire
egange    rôti
egange    frit
egano    épreuve
egano    ordalie
egano    sort
pundy'egano    faire tirer au sort
egano z'agali'mbila    épreuve de l'huile bouillante
egano z'ezingini    épreuve faite avec certaines herbes
egano z'im̂amba-ṉambolese    épreuve des serpents
egano z'inó ṉ'ompene    épreuve de la dent de vipère
egano zi ntȼimbo    épreuve du coquillage
egano z'oîuwa    épreuve du fer rougi au feu
egano z'om̂ango-mbila    épreuve de la noix de palme
but egano z'ite    tirer à la courte paille
egara    caisse
egara    coffre
egara    malle
egara z'ozangilya    un coffre de traite
egara zi tolongo    une malle en bois
egara z'ingongo    une malle en fer
naniz'egara bu    mettre une caisse à plat
dow'egara gore    mettre une caisse de champ
egarazówu    petit du canard-aiguille
egaregare    environs
egareegare    alentours
g'egaregare zi pilato    aux environs de libreville
g'egaregare zi pilato    vers libreville
egègè    petite pointe d'ivoire
egègè    escravelle
egèïgèï    humide
mbora yi re egèïgèï    cet endroit est humide
egèmbye    naïf
egèmbye    crédule
egèndini    allure
egèndini    démarche
egèndini    tournure
egènga    vitiligo
koto n'egènga    avoir le vitiligo
egènizo    mesure
egènizo    dimension
egènizo    modération
egènizo    retenue
bóng'egènizo zi ngóï    prendre mesure d'un habit
bóng'egènizo zi nago    mesurer une maison
egènizo z'intȼozo    pointure de chaussures
dsam̂u e dyandjo n'egènizo    il faut agir avec modération
egèza    tarière
egèza    vilbrequin
egèza    vrille
egilina    râpe
egilina    de serrurier
egilina zi kiline fariṉa    une râpe à farine de manioc
egilina zi kilin'intimbe    une râpe de menuisier
egilina zi kilin'imyanga    une râpe de serrurier
egirigi    palétuvier blanc
egóga    trace
egóga z'ombóm̂a    la trace d'un boa
egóga z'ombóm̂a    la trace d'un crocodile
egóga z'ombóm̂a    la trace d'une pirogue traînée par terre
egógóra    râle de la mort
koto n'egógóra    râler
egókina    palette en bois ou pierre plate sur laquelle on écrase les condiments de la cuisine indigène
ególani    prendre des portraits
ególani   lèpre endémique
ególani    ressemblance
ególani    apparence
ególani    image
ególani    portrait
móngi sinó awani wi re ególani emo    ces deux personnes se ressemblent
dyógó ególani    avoir la lèpre
nkani y'ególani    avoir la lèpre
wi re ególanî zi ntwagaga    ils ont une ressemblance de hasard
wi re ególanî zi ntwagaga    ils se ressemblent sans avoir de parenté
bónge gólani    faire de la photographie
ególanl zi rer'iyam̂i    le portrait de mon père
nkani y'ególani yi zele ni ńango ya rèti    il n'y a pas de vrai remède pour la lèpre
egómba    racloir
egómba    allusion
kómb'egómba    faire allusion
o kómbina mandè egómba ?    à qui fais-tu allusion ?
egómba zi kómbine rere    la plane sert à unir, à polir le bois
egómbatótó    liane de la forêt utilisée pour certains travaux
egombe    époque
egombe    temps
egombe zó    en ce temps-là
egombe zó    alors
egombe zónó    en ce temps-là
egombe zónó    alors
egombyedu    chaque fois
egombe zodu    toujours
egombe zodu    souvent
egombe zodu    en tout temps
g'egombe    quelquefois
egombe yèwó    parfois
egombe    règles
temps    époque
